nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 30056
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 30056
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/10
  STEP 1300/5739 | TOTAL_LOSS=0.550602 | REG_LOSS=0.142759 | SOFTCLIP_LOSS=1.306685 | PCL_LOSS=2.771744 | DRUG_PCL=1.376237 | PROT_PCL=1.395506 | MEAN_GATE=0.5301 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3036 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.377834
  STEP 1400/5739 | TOTAL_LOSS=0.765740 | REG_LOSS=0.405379 | SOFTCLIP_LOSS=0.825649 | PCL_LOSS=2.777959 | DRUG_PCL=1.404847 | PROT_PCL=1.373112 | MEAN_GATE=0.5223 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.4653 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.636694
  STEP 1500/5739 | TOTAL_LOSS=1.439267 | REG_LOSS=1.067297 | SOFTCLIP_LOSS=0.958621 | PCL_LOSS=2.761077 | DRUG_PCL=1.378061 | PROT_PCL=1.383016 | MEAN_GATE=0.5243 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.3603 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.033101
  STEP 1600/5739 | TOTAL_LOSS=1.065539 | REG_LOSS=0.697007 | SOFTCLIP_LOSS=0.968356 | PCL_LOSS=2.716963 | DRUG_PCL=1.342173 | PROT_PCL=1.374790 | MEAN_GATE=0.5163 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.5314 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.834869
  STEP 1700/5739 | TOTAL_LOSS=2.065553 | REG_LOSS=1.656094 | SOFTCLIP_LOSS=1.314207 | PCL_LOSS=2.780382 | DRUG_PCL=1.385217 | PROT_PCL=1.395165 | MEAN_GATE=0.5109 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3307 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.286893
  STEP 1800/5739 | TOTAL_LOSS=3.089811 | REG_LOSS=2.698351 | SOFTCLIP_LOSS=1.168238 | PCL_LOSS=2.746361 | DRUG_PCL=1.359007 | PROT_PCL=1.387354 | MEAN_GATE=0.5103 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4295 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.642666
  STEP 1900/5739 | TOTAL_LOSS=0.582934 | REG_LOSS=0.187576 | SOFTCLIP_LOSS=1.185160 | PCL_LOSS=2.768419 | DRUG_PCL=1.405958 | PROT_PCL=1.362460 | MEAN_GATE=0.5036 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3125 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.433100
  STEP 2000/5739 | TOTAL_LOSS=0.965275 | REG_LOSS=0.602896 | SOFTCLIP_LOSS=0.841847 | PCL_LOSS=2.781946 | DRUG_PCL=1.387909 | PROT_PCL=1.394038 | MEAN_GATE=0.5180 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.5642 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.776464
  STEP 2100/5739 | TOTAL_LOSS=0.498293 | REG_LOSS=0.128280 | SOFTCLIP_LOSS=1.007344 | PCL_LOSS=2.692781 | DRUG_PCL=1.342697 | PROT_PCL=1.350084 | MEAN_GATE=0.5175 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.2858 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.358162
  STEP 2200/5739 | TOTAL_LOSS=1.397902 | REG_LOSS=1.030039 | SOFTCLIP_LOSS=1.011167 | PCL_LOSS=2.667463 | DRUG_PCL=1.288013 | PROT_PCL=1.379451 | MEAN_GATE=0.5222 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3220 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.014909
