Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(diag-mul) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=0.344367 | REG_LOSS=0.075283 | SOFTCLIP_LOSS=1.316696 | PCL_LOSS=1.374142 | MEAN_GATE=0.5064 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3467 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.274377
  STEP 200/5739 | TOTAL_LOSS=1.571657 | REG_LOSS=1.309420 | SOFTCLIP_LOSS=1.237603 | PCL_LOSS=1.384765 | MEAN_GATE=0.5081 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4106 | DIAG_ALPHA=1.00 | BATCH_RMSE=1.144299
  STEP 300/5739 | TOTAL_LOSS=0.449755 | REG_LOSS=0.175757 | SOFTCLIP_LOSS=1.284364 | PCL_LOSS=1.455616 | MEAN_GATE=0.5077 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2206 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.419234
  STEP 400/5739 | TOTAL_LOSS=0.609245 | REG_LOSS=0.336287 | SOFTCLIP_LOSS=1.319614 | PCL_LOSS=1.409967 | MEAN_GATE=0.5072 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3794 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.579902
  STEP 500/5739 | TOTAL_LOSS=0.475710 | REG_LOSS=0.222884 | SOFTCLIP_LOSS=1.271497 | PCL_LOSS=1.256772 | MEAN_GATE=0.5122 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4837 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.472105
  STEP 600/5739 | TOTAL_LOSS=0.688891 | REG_LOSS=0.432823 | SOFTCLIP_LOSS=1.189087 | PCL_LOSS=1.371590 | MEAN_GATE=0.5086 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.5054 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.657893
  STEP 700/5739 | TOTAL_LOSS=0.462653 | REG_LOSS=0.224839 | SOFTCLIP_LOSS=1.236354 | PCL_LOSS=1.141784 | MEAN_GATE=0.5133 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3586 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.474172
  STEP 800/5739 | TOTAL_LOSS=0.449730 | REG_LOSS=0.198171 | SOFTCLIP_LOSS=1.162220 | PCL_LOSS=1.353367 | MEAN_GATE=0.5084 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4917 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.445164
  STEP 900/5739 | TOTAL_LOSS=1.275486 | REG_LOSS=1.051976 | SOFTCLIP_LOSS=1.182986 | PCL_LOSS=1.052106 | MEAN_GATE=0.5079 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.5326 | DIAG_ALPHA=1.00 | BATCH_RMSE=1.025659
  STEP 1000/5739 | TOTAL_LOSS=0.365953 | REG_LOSS=0.142769 | SOFTCLIP_LOSS=1.336099 | PCL_LOSS=0.895744 | MEAN_GATE=0.5128 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.5070 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.377848
  STEP 1100/5739 | TOTAL_LOSS=2.442498 | REG_LOSS=2.267891 | SOFTCLIP_LOSS=1.113701 | PCL_LOSS=0.632365 | MEAN_GATE=0.5102 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.5869 | DIAG_ALPHA=1.00 | BATCH_RMSE=1.505952
