nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(diag-mul) + pcl(protein1d-protein3d)
RESUMED FROM: outputs/davis_softclip_pcl_diagmul_bs4_ep200_a10_gpu0/latest_model.pt | start_epoch=40 | best_val_rmse=0.570351

EPOCH 40/200
  STEP 1500/5739 | TOTAL_LOSS=0.177065 | REG_LOSS=0.062413 | SOFTCLIP_LOSS=1.146518 | PCL_LOSS=0.000000 | MEAN_GATE=0.3264 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4789 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.249826
  STEP 1600/5739 | TOTAL_LOSS=0.356703 | REG_LOSS=0.246640 | SOFTCLIP_LOSS=1.082203 | PCL_LOSS=0.018421 | MEAN_GATE=0.2291 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.5165 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.496629
  STEP 1700/5739 | TOTAL_LOSS=0.158025 | REG_LOSS=0.059181 | SOFTCLIP_LOSS=0.988404 | PCL_LOSS=0.000028 | MEAN_GATE=0.3084 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4607 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.243272
  STEP 1800/5739 | TOTAL_LOSS=0.134535 | REG_LOSS=0.023203 | SOFTCLIP_LOSS=1.072743 | PCL_LOSS=0.040579 | MEAN_GATE=0.3898 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3278 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.152325
  STEP 1900/5739 | TOTAL_LOSS=0.804335 | REG_LOSS=0.703913 | SOFTCLIP_LOSS=1.003952 | PCL_LOSS=0.000268 | MEAN_GATE=0.3453 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.6094 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.838995
  STEP 2000/5739 | TOTAL_LOSS=1.260294 | REG_LOSS=1.166856 | SOFTCLIP_LOSS=0.932560 | PCL_LOSS=0.001821 | MEAN_GATE=0.2443 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4993 | DIAG_ALPHA=1.00 | BATCH_RMSE=1.080211
  STEP 2100/5739 | TOTAL_LOSS=0.161323 | REG_LOSS=0.053643 | SOFTCLIP_LOSS=0.963685 | PCL_LOSS=0.113120 | MEAN_GATE=0.2983 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.5012 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.231609
  STEP 2200/5739 | TOTAL_LOSS=0.807018 | REG_LOSS=0.684331 | SOFTCLIP_LOSS=1.147814 | PCL_LOSS=0.079061 | MEAN_GATE=0.3587 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.5894 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.827243
  STEP 2300/5739 | TOTAL_LOSS=0.224975 | REG_LOSS=0.080936 | SOFTCLIP_LOSS=1.162624 | PCL_LOSS=0.277763 | MEAN_GATE=0.3188 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3756 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.284492
  STEP 2400/5739 | TOTAL_LOSS=0.528521 | REG_LOSS=0.400442 | SOFTCLIP_LOSS=1.201921 | PCL_LOSS=0.078874 | MEAN_GATE=0.3069 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4130 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.632805
  STEP 2500/5739 | TOTAL_LOSS=0.238222 | REG_LOSS=0.130493 | SOFTCLIP_LOSS=1.003991 | PCL_LOSS=0.073295 | MEAN_GATE=0.3004 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4771 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.361238
  STEP 2600/5739 | TOTAL_LOSS=0.307554 | REG_LOSS=0.175543 | SOFTCLIP_LOSS=0.945176 | PCL_LOSS=0.374942 | MEAN_GATE=0.3539 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4510 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.418978
  STEP 2700/5739 | TOTAL_LOSS=0.529005 | REG_LOSS=0.424755 | SOFTCLIP_LOSS=1.042497 | PCL_LOSS=0.000001 | MEAN_GATE=0.3630 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3501 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.651733
  STEP 2800/5739 | TOTAL_LOSS=0.143039 | REG_LOSS=0.009566 | SOFTCLIP_LOSS=1.320349 | PCL_LOSS=0.014379 | MEAN_GATE=0.3306 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4167 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.097808
  STEP 2900/5739 | TOTAL_LOSS=0.234843 | REG_LOSS=0.115302 | SOFTCLIP_LOSS=1.195410 | PCL_LOSS=0.000000 | MEAN_GATE=0.3507 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2598 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.339561
  STEP 3000/5739 | TOTAL_LOSS=0.262363 | REG_LOSS=0.182222 | SOFTCLIP_LOSS=0.798578 | PCL_LOSS=0.002828 | MEAN_GATE=0.3105 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3715 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.426875
  STEP 3100/5739 | TOTAL_LOSS=0.217444 | REG_LOSS=0.084788 | SOFTCLIP_LOSS=1.318422 | PCL_LOSS=0.008133 | MEAN_GATE=0.3120 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4081 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.291184
  STEP 3200/5739 | TOTAL_LOSS=1.416744 | REG_LOSS=1.317652 | SOFTCLIP_LOSS=0.949205 | PCL_LOSS=0.041710 | MEAN_GATE=0.3461 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2368 | DIAG_ALPHA=1.00 | BATCH_RMSE=1.147890
  STEP 3300/5739 | TOTAL_LOSS=0.209306 | REG_LOSS=0.105976 | SOFTCLIP_LOSS=1.032717 | PCL_LOSS=0.000580 | MEAN_GATE=0.3331 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4836 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.325540
  STEP 3400/5739 | TOTAL_LOSS=0.528005 | REG_LOSS=0.427808 | SOFTCLIP_LOSS=1.000907 | PCL_LOSS=0.001060 | MEAN_GATE=0.2759 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2774 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.654070
  STEP 3500/5739 | TOTAL_LOSS=0.209557 | REG_LOSS=0.048955 | SOFTCLIP_LOSS=1.164277 | PCL_LOSS=0.441750 | MEAN_GATE=0.3594 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4558 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.221257
  STEP 3600/5739 | TOTAL_LOSS=0.251824 | REG_LOSS=0.088873 | SOFTCLIP_LOSS=1.313517 | PCL_LOSS=0.315993 | MEAN_GATE=0.3843 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4500 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.298116
