nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 30056
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 30056
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)
RESUMED FROM: /data1/ztx/MyModel-MDTA/outputs/EGNN/davis_softclip_pcl_labelsim_drug3d_prot3d_full200/best_model.pt | start_epoch=277 | best_val_rmse=0.454591 | no_improve=52

EPOCH 277/500
  STEP 1300/5739 | TOTAL_LOSS=0.199593 | REG_LOSS=0.036073 | SOFTCLIP_LOSS=1.287115 | PCL_LOSS=0.348094 | DRUG_PCL=0.001267 | PROT_PCL=0.346827 | MEAN_GATE=0.3515 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3036 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.189928
  STEP 1400/5739 | TOTAL_LOSS=0.259715 | REG_LOSS=0.179013 | SOFTCLIP_LOSS=0.802268 | PCL_LOSS=0.004755 | DRUG_PCL=0.000016 | PROT_PCL=0.004739 | MEAN_GATE=0.3434 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.4653 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.423099
  STEP 1500/5739 | TOTAL_LOSS=0.385909 | REG_LOSS=0.265987 | SOFTCLIP_LOSS=0.922983 | PCL_LOSS=0.276234 | DRUG_PCL=0.000000 | PROT_PCL=0.276234 | MEAN_GATE=0.3390 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.3603 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.515739
  STEP 1600/5739 | TOTAL_LOSS=0.140506 | REG_LOSS=0.023677 | SOFTCLIP_LOSS=0.932000 | PCL_LOSS=0.236287 | DRUG_PCL=0.000003 | PROT_PCL=0.236284 | MEAN_GATE=0.3483 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.5314 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.153873
  STEP 1700/5739 | TOTAL_LOSS=0.576286 | REG_LOSS=0.445093 | SOFTCLIP_LOSS=1.250021 | PCL_LOSS=0.061910 | DRUG_PCL=0.000889 | PROT_PCL=0.061021 | MEAN_GATE=0.3503 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3307 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.667153
  STEP 1800/5739 | TOTAL_LOSS=0.482453 | REG_LOSS=0.386748 | SOFTCLIP_LOSS=0.955190 | PCL_LOSS=0.001858 | DRUG_PCL=0.001809 | PROT_PCL=0.000049 | MEAN_GATE=0.3391 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4295 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.621891
  STEP 1900/5739 | TOTAL_LOSS=0.122472 | REG_LOSS=0.005272 | SOFTCLIP_LOSS=1.171239 | PCL_LOSS=0.000759 | DRUG_PCL=0.000000 | PROT_PCL=0.000759 | MEAN_GATE=0.3286 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3125 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.072610
  STEP 2000/5739 | TOTAL_LOSS=0.243736 | REG_LOSS=0.161720 | SOFTCLIP_LOSS=0.818883 | PCL_LOSS=0.001275 | DRUG_PCL=0.000000 | PROT_PCL=0.001275 | MEAN_GATE=0.3363 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.5642 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.402144
  STEP 2100/5739 | TOTAL_LOSS=0.171047 | REG_LOSS=0.020176 | SOFTCLIP_LOSS=0.900978 | PCL_LOSS=0.607735 | DRUG_PCL=0.000000 | PROT_PCL=0.607735 | MEAN_GATE=0.3615 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.2858 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.142042
  STEP 2200/5739 | TOTAL_LOSS=0.113298 | REG_LOSS=0.016793 | SOFTCLIP_LOSS=0.964997 | PCL_LOSS=0.000055 | DRUG_PCL=0.000003 | PROT_PCL=0.000052 | MEAN_GATE=0.3532 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3220 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.129586
