Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=0.345087 | REG_LOSS=0.075351 | SOFTCLIP_LOSS=1.322192 | PCL_LOSS=1.375167 | MEAN_GATE=0.5068 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2175 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.274502
  STEP 200/5739 | TOTAL_LOSS=1.571759 | REG_LOSS=1.308360 | SOFTCLIP_LOSS=1.246446 | PCL_LOSS=1.387540 | MEAN_GATE=0.5084 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2719 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=1.143836
  STEP 300/5739 | TOTAL_LOSS=0.444861 | REG_LOSS=0.175302 | SOFTCLIP_LOSS=1.247649 | PCL_LOSS=1.447935 | MEAN_GATE=0.5082 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.1785 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.418691
  STEP 400/5739 | TOTAL_LOSS=0.608884 | REG_LOSS=0.336259 | SOFTCLIP_LOSS=1.318786 | PCL_LOSS=1.407461 | MEAN_GATE=0.5076 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2649 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.579878
  STEP 500/5739 | TOTAL_LOSS=0.475615 | REG_LOSS=0.223166 | SOFTCLIP_LOSS=1.275065 | PCL_LOSS=1.249424 | MEAN_GATE=0.5127 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3184 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.472404
  STEP 600/5739 | TOTAL_LOSS=0.690953 | REG_LOSS=0.432287 | SOFTCLIP_LOSS=1.189891 | PCL_LOSS=1.396774 | MEAN_GATE=0.5090 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3648 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.657485
  STEP 700/5739 | TOTAL_LOSS=0.455622 | REG_LOSS=0.225113 | SOFTCLIP_LOSS=1.234803 | PCL_LOSS=1.070294 | MEAN_GATE=0.5137 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2510 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.474461
  STEP 800/5739 | TOTAL_LOSS=0.453105 | REG_LOSS=0.198088 | SOFTCLIP_LOSS=1.157714 | PCL_LOSS=1.392464 | MEAN_GATE=0.5089 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3333 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.445070
  STEP 900/5739 | TOTAL_LOSS=1.251140 | REG_LOSS=1.050036 | SOFTCLIP_LOSS=1.195227 | PCL_LOSS=0.815813 | MEAN_GATE=0.5092 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4271 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=1.024713
  STEP 1000/5739 | TOTAL_LOSS=0.365499 | REG_LOSS=0.140977 | SOFTCLIP_LOSS=1.337365 | PCL_LOSS=0.907846 | MEAN_GATE=0.5144 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3285 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.375470
  STEP 1100/5739 | TOTAL_LOSS=2.464144 | REG_LOSS=2.277306 | SOFTCLIP_LOSS=1.129596 | PCL_LOSS=0.738786 | MEAN_GATE=0.5106 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4676 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=1.509074
