nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)
RESUMED FROM: outputs/davis_softclip_pcl_labelsim_bs4_ep200_t05_m03_gpu0/latest_model.pt | start_epoch=39 | best_val_rmse=0.547543

EPOCH 39/200
  STEP 100/5739 | TOTAL_LOSS=0.218715 | REG_LOSS=0.092528 | SOFTCLIP_LOSS=1.261879 | PCL_LOSS=0.000000 | MEAN_GATE=0.3648 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2175 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.304183
  STEP 200/5739 | TOTAL_LOSS=0.140168 | REG_LOSS=0.023821 | SOFTCLIP_LOSS=1.156532 | PCL_LOSS=0.006935 | MEAN_GATE=0.3550 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2719 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.154340
  STEP 300/5739 | TOTAL_LOSS=0.185910 | REG_LOSS=0.061450 | SOFTCLIP_LOSS=1.104420 | PCL_LOSS=0.140176 | MEAN_GATE=0.3381 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.1785 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.247892
  STEP 400/5739 | TOTAL_LOSS=0.551334 | REG_LOSS=0.404672 | SOFTCLIP_LOSS=1.302131 | PCL_LOSS=0.164490 | MEAN_GATE=0.3811 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2649 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.636138
  STEP 500/5739 | TOTAL_LOSS=0.260824 | REG_LOSS=0.130309 | SOFTCLIP_LOSS=1.302329 | PCL_LOSS=0.002827 | MEAN_GATE=0.3303 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3184 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.360983
  STEP 600/5739 | TOTAL_LOSS=0.627469 | REG_LOSS=0.515747 | SOFTCLIP_LOSS=1.117219 | PCL_LOSS=0.000000 | MEAN_GATE=0.3300 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3648 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.718156
  STEP 700/5739 | TOTAL_LOSS=0.207898 | REG_LOSS=0.093551 | SOFTCLIP_LOSS=1.143468 | PCL_LOSS=0.000002 | MEAN_GATE=0.3039 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2510 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.305861
  STEP 800/5739 | TOTAL_LOSS=0.163044 | REG_LOSS=0.045939 | SOFTCLIP_LOSS=1.148345 | PCL_LOSS=0.022697 | MEAN_GATE=0.3841 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3333 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.214335
  STEP 900/5739 | TOTAL_LOSS=0.794207 | REG_LOSS=0.679764 | SOFTCLIP_LOSS=1.029984 | PCL_LOSS=0.114440 | MEAN_GATE=0.3112 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4271 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.824478
  STEP 1000/5739 | TOTAL_LOSS=0.164967 | REG_LOSS=0.027772 | SOFTCLIP_LOSS=1.328914 | PCL_LOSS=0.043035 | MEAN_GATE=0.3313 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3285 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.166650
  STEP 1100/5739 | TOTAL_LOSS=1.292920 | REG_LOSS=1.197201 | SOFTCLIP_LOSS=0.890825 | PCL_LOSS=0.066364 | MEAN_GATE=0.3406 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4676 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=1.094167
  STEP 1200/5739 | TOTAL_LOSS=0.322312 | REG_LOSS=0.233726 | SOFTCLIP_LOSS=0.883932 | PCL_LOSS=0.001927 | MEAN_GATE=0.3144 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4221 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.483452
  STEP 1300/5739 | TOTAL_LOSS=0.485312 | REG_LOSS=0.379217 | SOFTCLIP_LOSS=1.060924 | PCL_LOSS=0.000024 | MEAN_GATE=0.3544 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2380 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.615806
  STEP 1400/5739 | TOTAL_LOSS=0.224146 | REG_LOSS=0.140341 | SOFTCLIP_LOSS=0.834977 | PCL_LOSS=0.003078 | MEAN_GATE=0.3355 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.4096 | LBL_TAU=0.50 | LBL_MIX=0.30 | BATCH_RMSE=0.374621
