Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=0.343478 | REG_LOSS=0.075172 | SOFTCLIP_LOSS=1.313998 | PCL_LOSS=1.369070 | MEAN_GATE=0.5061 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4477 | DIAG_W=0.30 | BATCH_RMSE=0.274174
  STEP 200/5739 | TOTAL_LOSS=1.571456 | REG_LOSS=1.309130 | SOFTCLIP_LOSS=1.238591 | PCL_LOSS=1.384673 | MEAN_GATE=0.5078 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4873 | DIAG_W=0.30 | BATCH_RMSE=1.144172
  STEP 300/5739 | TOTAL_LOSS=0.445901 | REG_LOSS=0.175272 | SOFTCLIP_LOSS=1.260893 | PCL_LOSS=1.445398 | MEAN_GATE=0.5069 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3949 | DIAG_W=0.30 | BATCH_RMSE=0.418655
  STEP 400/5739 | TOTAL_LOSS=0.606429 | REG_LOSS=0.336807 | SOFTCLIP_LOSS=1.311415 | PCL_LOSS=1.384806 | MEAN_GATE=0.5065 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4745 | DIAG_W=0.30 | BATCH_RMSE=0.580350
  STEP 500/5739 | TOTAL_LOSS=0.480436 | REG_LOSS=0.223060 | SOFTCLIP_LOSS=1.297255 | PCL_LOSS=1.276500 | MEAN_GATE=0.5110 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.5309 | DIAG_W=0.30 | BATCH_RMSE=0.472292
  STEP 600/5739 | TOTAL_LOSS=0.685841 | REG_LOSS=0.432906 | SOFTCLIP_LOSS=1.158585 | PCL_LOSS=1.370762 | MEAN_GATE=0.5079 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.5632 | DIAG_W=0.30 | BATCH_RMSE=0.657956
  STEP 700/5739 | TOTAL_LOSS=0.459853 | REG_LOSS=0.225380 | SOFTCLIP_LOSS=1.229590 | PCL_LOSS=1.115134 | MEAN_GATE=0.5117 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4635 | DIAG_W=0.30 | BATCH_RMSE=0.474742
  STEP 800/5739 | TOTAL_LOSS=0.454804 | REG_LOSS=0.197749 | SOFTCLIP_LOSS=1.156986 | PCL_LOSS=1.413563 | MEAN_GATE=0.5072 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.5333 | DIAG_W=0.30 | BATCH_RMSE=0.444689
  STEP 900/5739 | TOTAL_LOSS=1.263575 | REG_LOSS=1.051042 | SOFTCLIP_LOSS=1.193078 | PCL_LOSS=0.932250 | MEAN_GATE=0.5057 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.5952 | DIAG_W=0.30 | BATCH_RMSE=1.025203
  STEP 1000/5739 | TOTAL_LOSS=0.367146 | REG_LOSS=0.145818 | SOFTCLIP_LOSS=1.324306 | PCL_LOSS=0.888981 | MEAN_GATE=0.5123 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.5409 | DIAG_W=0.30 | BATCH_RMSE=0.381861
  STEP 1100/5739 | TOTAL_LOSS=2.470377 | REG_LOSS=2.281877 | SOFTCLIP_LOSS=1.179485 | PCL_LOSS=0.705523 | MEAN_GATE=0.5073 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6208 | DIAG_W=0.30 | BATCH_RMSE=1.510588
