tag,status,return_code,elapsed_sec,batch_size,lr,lambda_clip,temperature_init,best_epoch,val_loss,val_mse,val_rmse,val_mae,val_ci,val_rm2,train_loss,train_mse,train_rmse,train_mae,train_ci,train_rm2,output_dir
bs8_lr0.0003_lc0.1_temp0.07,ok,0,4182.87,8,0.0003,0.1,0.07,29,0.5661201006132551,0.35821661353111267,0.5985119938850403,0.38952457904815674,0.839875764465172,0.5096908248019729,0.6432185522857538,0.4352762699127197,0.6597546935081482,0.4475879967212677,0.8063565804044612,0.4351501461418321,outputs/stdclip_sweeps/stdclip_sweep_20260417_113821/bs8_lr0.0003_lc0.1_temp0.07
bs16_lr0.0003_lc0.1_temp0.07,ok,0,3252.78,16,0.0003,0.1,0.07,30,0.6556930519147202,0.37847623229026794,0.6152042150497437,0.38794559240341187,0.8350204898470068,0.4998207392684504,0.7529549871219702,0.4757009744644165,0.689710795879364,0.46983274817466736,0.8011171179343614,0.3917275955634041,outputs/stdclip_sweeps/stdclip_sweep_20260417_113821/bs16_lr0.0003_lc0.1_temp0.07
bs32_lr0.0003_lc0.1_temp0.07,ok,0,2920.31,32,0.0003,0.1,0.07,29,0.8085628158954793,0.4621972143650055,0.6798508763313293,0.43220946192741394,0.8170437576387588,0.40990522944250873,0.9012881947490142,0.5547575950622559,0.7448204755783081,0.5079187750816345,0.7813278151048911,0.3051037719116507,outputs/stdclip_sweeps/stdclip_sweep_20260417_113821/bs32_lr0.0003_lc0.1_temp0.07
