nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 30056
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 30056
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)
RESUMED FROM: /data1/ztx/MyModel-MDTA/outputs/EGNN/parameter_tuning/davis_s1_lc005_lp010/best_model.pt | start_epoch=182 | best_val_rmse=0.456179 | no_improve=0

EPOCH 182/500
  STEP 1300/5739 | TOTAL_LOSS=0.028922 | REG_LOSS=0.028922 | SOFTCLIP_LOSS=1.289590 | PCL_LOSS=0.104814 | DRUG_PCL=0.000005 | PROT_PCL=0.104809 | MEAN_GATE=0.2961 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3036 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.170066
  STEP 1400/5739 | TOTAL_LOSS=0.036033 | REG_LOSS=0.036033 | SOFTCLIP_LOSS=0.809731 | PCL_LOSS=2.974524 | DRUG_PCL=0.000000 | PROT_PCL=2.974524 | MEAN_GATE=0.2774 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.4653 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.189823
  STEP 1500/5739 | TOTAL_LOSS=0.020993 | REG_LOSS=0.020993 | SOFTCLIP_LOSS=0.897657 | PCL_LOSS=0.016951 | DRUG_PCL=0.016928 | PROT_PCL=0.000023 | MEAN_GATE=0.3400 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.3603 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.144888
  STEP 1600/5739 | TOTAL_LOSS=0.056908 | REG_LOSS=0.056908 | SOFTCLIP_LOSS=0.935125 | PCL_LOSS=0.079467 | DRUG_PCL=0.000138 | PROT_PCL=0.079329 | MEAN_GATE=0.3238 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.5314 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.238553
  STEP 1700/5739 | TOTAL_LOSS=0.065838 | REG_LOSS=0.065838 | SOFTCLIP_LOSS=1.240936 | PCL_LOSS=0.063935 | DRUG_PCL=0.000386 | PROT_PCL=0.063550 | MEAN_GATE=0.3567 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3307 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.256590
  STEP 1800/5739 | TOTAL_LOSS=0.034260 | REG_LOSS=0.034260 | SOFTCLIP_LOSS=0.917342 | PCL_LOSS=0.008735 | DRUG_PCL=0.001145 | PROT_PCL=0.007591 | MEAN_GATE=0.2952 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4295 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.185095
  STEP 1900/5739 | TOTAL_LOSS=0.046456 | REG_LOSS=0.046456 | SOFTCLIP_LOSS=1.172006 | PCL_LOSS=0.256163 | DRUG_PCL=0.000007 | PROT_PCL=0.256156 | MEAN_GATE=0.3278 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3125 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.215537
  STEP 2000/5739 | TOTAL_LOSS=0.103895 | REG_LOSS=0.103895 | SOFTCLIP_LOSS=0.814145 | PCL_LOSS=0.101481 | DRUG_PCL=0.000001 | PROT_PCL=0.101480 | MEAN_GATE=0.3210 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.5642 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.322327
  STEP 2100/5739 | TOTAL_LOSS=0.069629 | REG_LOSS=0.069629 | SOFTCLIP_LOSS=0.910000 | PCL_LOSS=0.044839 | DRUG_PCL=0.000068 | PROT_PCL=0.044771 | MEAN_GATE=0.2637 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.2858 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.263873
  STEP 2200/5739 | TOTAL_LOSS=0.019724 | REG_LOSS=0.019724 | SOFTCLIP_LOSS=0.963119 | PCL_LOSS=0.290235 | DRUG_PCL=0.089038 | PROT_PCL=0.201197 | MEAN_GATE=0.3085 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3220 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.140441
