Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=0.344512 | REG_LOSS=0.075387 | SOFTCLIP_LOSS=1.317439 | PCL_LOSS=1.373806 | MEAN_GATE=0.5068 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2220 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.274568
  STEP 200/5739 | TOTAL_LOSS=1.572121 | REG_LOSS=1.308344 | SOFTCLIP_LOSS=1.251380 | PCL_LOSS=1.386383 | MEAN_GATE=0.5084 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2725 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=1.143829
  STEP 300/5739 | TOTAL_LOSS=0.445278 | REG_LOSS=0.175196 | SOFTCLIP_LOSS=1.245811 | PCL_LOSS=1.455007 | MEAN_GATE=0.5081 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.1785 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.418565
  STEP 400/5739 | TOTAL_LOSS=0.609018 | REG_LOSS=0.336234 | SOFTCLIP_LOSS=1.317489 | PCL_LOSS=1.410355 | MEAN_GATE=0.5074 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2602 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.579857
  STEP 500/5739 | TOTAL_LOSS=0.476584 | REG_LOSS=0.223597 | SOFTCLIP_LOSS=1.285907 | PCL_LOSS=1.243955 | MEAN_GATE=0.5126 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3162 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.472861
  STEP 600/5739 | TOTAL_LOSS=0.684860 | REG_LOSS=0.431514 | SOFTCLIP_LOSS=1.173865 | PCL_LOSS=1.359588 | MEAN_GATE=0.5089 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3641 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.656898
  STEP 700/5739 | TOTAL_LOSS=0.455107 | REG_LOSS=0.224944 | SOFTCLIP_LOSS=1.233837 | PCL_LOSS=1.067793 | MEAN_GATE=0.5137 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2510 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.474283
  STEP 800/5739 | TOTAL_LOSS=0.454894 | REG_LOSS=0.198333 | SOFTCLIP_LOSS=1.156099 | PCL_LOSS=1.409510 | MEAN_GATE=0.5093 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3333 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.445346
  STEP 900/5739 | TOTAL_LOSS=1.264310 | REG_LOSS=1.049182 | SOFTCLIP_LOSS=1.198423 | PCL_LOSS=0.952858 | MEAN_GATE=0.5092 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4265 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=1.024296
  STEP 1000/5739 | TOTAL_LOSS=0.363775 | REG_LOSS=0.141870 | SOFTCLIP_LOSS=1.331776 | PCL_LOSS=0.887269 | MEAN_GATE=0.5140 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3256 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.376657
  STEP 1100/5739 | TOTAL_LOSS=2.453249 | REG_LOSS=2.271882 | SOFTCLIP_LOSS=1.145495 | PCL_LOSS=0.668177 | MEAN_GATE=0.5109 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4581 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=1.507276
