nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/500
  STEP 100/5739 | TOTAL_LOSS=1.441844 | REG_LOSS=1.111633 | SOFTCLIP_LOSS=1.051847 | PCL_LOSS=2.776187 | DRUG_PCL=1.358154 | PROT_PCL=1.418034 | MEAN_GATE=0.4745 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3741 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.054340
  STEP 200/5739 | TOTAL_LOSS=2.369416 | REG_LOSS=2.043242 | SOFTCLIP_LOSS=1.149399 | PCL_LOSS=2.687041 | DRUG_PCL=1.189548 | PROT_PCL=1.497493 | MEAN_GATE=0.4813 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3301 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.429420
  STEP 300/5739 | TOTAL_LOSS=0.621751 | REG_LOSS=0.287276 | SOFTCLIP_LOSS=0.997026 | PCL_LOSS=2.846237 | DRUG_PCL=1.467030 | PROT_PCL=1.379207 | MEAN_GATE=0.4874 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.2107 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.535981
  STEP 400/5739 | TOTAL_LOSS=0.660401 | REG_LOSS=0.321828 | SOFTCLIP_LOSS=1.232927 | PCL_LOSS=2.769264 | DRUG_PCL=1.373403 | PROT_PCL=1.395860 | MEAN_GATE=0.5063 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3057 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.567299
  STEP 500/5739 | TOTAL_LOSS=0.440895 | REG_LOSS=0.103623 | SOFTCLIP_LOSS=1.163468 | PCL_LOSS=2.790987 | DRUG_PCL=1.401414 | PROT_PCL=1.389573 | MEAN_GATE=0.5045 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3257 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.321905
  STEP 600/5739 | TOTAL_LOSS=0.970735 | REG_LOSS=0.631964 | SOFTCLIP_LOSS=1.238250 | PCL_LOSS=2.768585 | DRUG_PCL=1.436671 | PROT_PCL=1.331914 | MEAN_GATE=0.5076 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3786 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.794962
  STEP 700/5739 | TOTAL_LOSS=0.708747 | REG_LOSS=0.358660 | SOFTCLIP_LOSS=1.192479 | PCL_LOSS=2.904627 | DRUG_PCL=1.423280 | PROT_PCL=1.481347 | MEAN_GATE=0.5167 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2529 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.598882
  STEP 800/5739 | TOTAL_LOSS=0.997168 | REG_LOSS=0.638930 | SOFTCLIP_LOSS=1.335120 | PCL_LOSS=2.914813 | DRUG_PCL=1.370656 | PROT_PCL=1.544157 | MEAN_GATE=0.5346 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.1968 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.799331
  STEP 900/5739 | TOTAL_LOSS=1.164589 | REG_LOSS=0.830309 | SOFTCLIP_LOSS=1.172132 | PCL_LOSS=2.756734 | DRUG_PCL=1.354961 | PROT_PCL=1.401773 | MEAN_GATE=0.5345 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2958 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.911213
  STEP 1000/5739 | TOTAL_LOSS=0.511589 | REG_LOSS=0.179651 | SOFTCLIP_LOSS=1.157434 | PCL_LOSS=2.740665 | DRUG_PCL=1.385083 | PROT_PCL=1.355582 | MEAN_GATE=0.5297 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3489 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.423853
  STEP 1100/5739 | TOTAL_LOSS=1.039503 | REG_LOSS=0.694889 | SOFTCLIP_LOSS=1.289092 | PCL_LOSS=2.801597 | DRUG_PCL=1.409821 | PROT_PCL=1.391776 | MEAN_GATE=0.5278 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2654 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.833600
  STEP 1200/5739 | TOTAL_LOSS=0.418122 | REG_LOSS=0.076827 | SOFTCLIP_LOSS=1.309838 | PCL_LOSS=2.758029 | DRUG_PCL=1.366140 | PROT_PCL=1.391888 | MEAN_GATE=0.5259 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2119 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.277178
  STEP 1300/5739 | TOTAL_LOSS=0.762616 | REG_LOSS=0.411371 | SOFTCLIP_LOSS=1.277920 | PCL_LOSS=2.873497 | DRUG_PCL=1.406504 | PROT_PCL=1.466992 | MEAN_GATE=0.5404 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2209 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.641382
  STEP 1400/5739 | TOTAL_LOSS=0.653336 | REG_LOSS=0.317441 | SOFTCLIP_LOSS=1.174622 | PCL_LOSS=2.771638 | DRUG_PCL=1.370609 | PROT_PCL=1.401029 | MEAN_GATE=0.5521 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2900 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.563419
  STEP 1500/5739 | TOTAL_LOSS=1.030468 | REG_LOSS=0.678918 | SOFTCLIP_LOSS=1.333804 | PCL_LOSS=2.848603 | DRUG_PCL=1.399911 | PROT_PCL=1.448692 | MEAN_GATE=0.5489 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3504 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.823965
  STEP 1600/5739 | TOTAL_LOSS=0.501039 | REG_LOSS=0.163250 | SOFTCLIP_LOSS=1.180779 | PCL_LOSS=2.787502 | DRUG_PCL=1.394763 | PROT_PCL=1.392740 | MEAN_GATE=0.5328 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3317 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.404042
  STEP 1700/5739 | TOTAL_LOSS=0.768924 | REG_LOSS=0.424057 | SOFTCLIP_LOSS=1.292355 | PCL_LOSS=2.802496 | DRUG_PCL=1.445956 | PROT_PCL=1.356541 | MEAN_GATE=0.5437 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3613 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.651196
  STEP 1800/5739 | TOTAL_LOSS=0.683991 | REG_LOSS=0.331676 | SOFTCLIP_LOSS=1.386167 | PCL_LOSS=2.830063 | DRUG_PCL=1.417639 | PROT_PCL=1.412424 | MEAN_GATE=0.5274 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2296 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.575913
  STEP 1900/5739 | TOTAL_LOSS=4.118608 | REG_LOSS=3.782260 | SOFTCLIP_LOSS=1.113322 | PCL_LOSS=2.806811 | DRUG_PCL=1.360346 | PROT_PCL=1.446465 | MEAN_GATE=0.5385 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3986 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.944803
  STEP 2000/5739 | TOTAL_LOSS=0.669950 | REG_LOSS=0.335531 | SOFTCLIP_LOSS=0.997844 | PCL_LOSS=2.845265 | DRUG_PCL=1.431538 | PROT_PCL=1.413728 | MEAN_GATE=0.5483 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4429 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.579251
  STEP 2100/5739 | TOTAL_LOSS=2.379700 | REG_LOSS=2.039634 | SOFTCLIP_LOSS=1.207469 | PCL_LOSS=2.796922 | DRUG_PCL=1.398992 | PROT_PCL=1.397930 | MEAN_GATE=0.5567 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3338 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.428158
  STEP 2200/5739 | TOTAL_LOSS=0.355011 | REG_LOSS=0.039373 | SOFTCLIP_LOSS=0.908515 | PCL_LOSS=2.702121 | DRUG_PCL=1.314975 | PROT_PCL=1.387147 | MEAN_GATE=0.5546 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.5608 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.198427
  STEP 2300/5739 | TOTAL_LOSS=0.646318 | REG_LOSS=0.310303 | SOFTCLIP_LOSS=1.244347 | PCL_LOSS=2.737975 | DRUG_PCL=1.337681 | PROT_PCL=1.400294 | MEAN_GATE=0.5415 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2598 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.557049
  STEP 2400/5739 | TOTAL_LOSS=0.899036 | REG_LOSS=0.553465 | SOFTCLIP_LOSS=1.246563 | PCL_LOSS=2.832425 | DRUG_PCL=1.435575 | PROT_PCL=1.396851 | MEAN_GATE=0.5330 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2917 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.743952
