nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)
RESUMED FROM: outputs/davis_softclip_pcl_labelsim_bs4_ep200_t10_m01_gpu0/latest_model.pt | start_epoch=39 | best_val_rmse=0.548052

EPOCH 39/200
  STEP 100/5739 | TOTAL_LOSS=0.167265 | REG_LOSS=0.041417 | SOFTCLIP_LOSS=1.257679 | PCL_LOSS=0.000801 | MEAN_GATE=0.3219 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2146 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.203511
  STEP 200/5739 | TOTAL_LOSS=0.297333 | REG_LOSS=0.140467 | SOFTCLIP_LOSS=1.155387 | PCL_LOSS=0.413270 | MEAN_GATE=0.3908 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2692 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.374790
  STEP 300/5739 | TOTAL_LOSS=0.141000 | REG_LOSS=0.038491 | SOFTCLIP_LOSS=1.024304 | PCL_LOSS=0.000778 | MEAN_GATE=0.3229 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.1496 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.196192
  STEP 400/5739 | TOTAL_LOSS=0.518172 | REG_LOSS=0.389547 | SOFTCLIP_LOSS=1.277798 | PCL_LOSS=0.008456 | MEAN_GATE=0.3515 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2528 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.624137
  STEP 500/5739 | TOTAL_LOSS=0.282545 | REG_LOSS=0.152179 | SOFTCLIP_LOSS=1.303622 | PCL_LOSS=0.000033 | MEAN_GATE=0.3569 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3254 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.390102
  STEP 600/5739 | TOTAL_LOSS=0.684320 | REG_LOSS=0.575090 | SOFTCLIP_LOSS=1.092301 | PCL_LOSS=0.000000 | MEAN_GATE=0.3059 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3722 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.758347
  STEP 700/5739 | TOTAL_LOSS=0.207732 | REG_LOSS=0.104332 | SOFTCLIP_LOSS=1.033929 | PCL_LOSS=0.000070 | MEAN_GATE=0.3045 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2393 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.323005
  STEP 800/5739 | TOTAL_LOSS=0.202649 | REG_LOSS=0.086350 | SOFTCLIP_LOSS=1.157626 | PCL_LOSS=0.005362 | MEAN_GATE=0.3251 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3333 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.293854
  STEP 900/5739 | TOTAL_LOSS=0.225831 | REG_LOSS=0.112801 | SOFTCLIP_LOSS=1.015834 | PCL_LOSS=0.114463 | MEAN_GATE=0.3503 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4233 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.335858
  STEP 1000/5739 | TOTAL_LOSS=0.177530 | REG_LOSS=0.038344 | SOFTCLIP_LOSS=1.371516 | PCL_LOSS=0.020343 | MEAN_GATE=0.3435 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3381 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.195816
  STEP 1100/5739 | TOTAL_LOSS=1.036304 | REG_LOSS=0.951248 | SOFTCLIP_LOSS=0.825032 | PCL_LOSS=0.025532 | MEAN_GATE=0.3675 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4582 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.975319
