Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 1500/5739 | TOTAL_LOSS=0.317040 | REG_LOSS=0.144916 | SOFTCLIP_LOSS=1.162663 | PCL_LOSS=0.558573 | MEAN_GATE=0.5051 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3172 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.380679
  STEP 1600/5739 | TOTAL_LOSS=3.328248 | REG_LOSS=3.043948 | SOFTCLIP_LOSS=1.375111 | PCL_LOSS=1.467889 | MEAN_GATE=0.5037 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.4053 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=1.744691
  STEP 1700/5739 | TOTAL_LOSS=0.350803 | REG_LOSS=0.179631 | SOFTCLIP_LOSS=1.098234 | PCL_LOSS=0.613485 | MEAN_GATE=0.5072 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3348 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.423829
  STEP 1800/5739 | TOTAL_LOSS=0.329062 | REG_LOSS=0.129238 | SOFTCLIP_LOSS=1.258645 | PCL_LOSS=0.739596 | MEAN_GATE=0.5141 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2146 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.359497
  STEP 1900/5739 | TOTAL_LOSS=0.981592 | REG_LOSS=0.850402 | SOFTCLIP_LOSS=1.057298 | PCL_LOSS=0.254598 | MEAN_GATE=0.5099 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4923 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.922172
  STEP 2000/5739 | TOTAL_LOSS=2.620519 | REG_LOSS=2.440402 | SOFTCLIP_LOSS=1.138685 | PCL_LOSS=0.662485 | MEAN_GATE=0.5058 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3886 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=1.562178
  STEP 2100/5739 | TOTAL_LOSS=3.829842 | REG_LOSS=3.646347 | SOFTCLIP_LOSS=1.217330 | PCL_LOSS=0.617624 | MEAN_GATE=0.5080 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4044 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=1.909541
  STEP 2200/5739 | TOTAL_LOSS=1.091927 | REG_LOSS=0.856328 | SOFTCLIP_LOSS=1.274686 | PCL_LOSS=1.081306 | MEAN_GATE=0.5197 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4380 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.925380
  STEP 2300/5739 | TOTAL_LOSS=0.626696 | REG_LOSS=0.385438 | SOFTCLIP_LOSS=1.243514 | PCL_LOSS=1.169069 | MEAN_GATE=0.5065 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2434 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.620836
  STEP 2400/5739 | TOTAL_LOSS=0.540671 | REG_LOSS=0.339554 | SOFTCLIP_LOSS=1.253259 | PCL_LOSS=0.757904 | MEAN_GATE=0.5123 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2698 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.582713
