Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 1600/5739 | TOTAL_LOSS=3.334539 | REG_LOSS=3.050203 | SOFTCLIP_LOSS=1.375256 | PCL_LOSS=1.468106 | MEAN_GATE=0.5024 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.7017 | DIAG_W=0.50 | BATCH_RMSE=1.746483
  STEP 1700/5739 | TOTAL_LOSS=0.353562 | REG_LOSS=0.181991 | SOFTCLIP_LOSS=1.142091 | PCL_LOSS=0.573614 | MEAN_GATE=0.5044 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.6668 | DIAG_W=0.50 | BATCH_RMSE=0.426604
  STEP 1800/5739 | TOTAL_LOSS=0.324131 | REG_LOSS=0.127977 | SOFTCLIP_LOSS=1.262628 | PCL_LOSS=0.698914 | MEAN_GATE=0.5094 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6033 | DIAG_W=0.50 | BATCH_RMSE=0.357738
  STEP 1900/5739 | TOTAL_LOSS=0.987674 | REG_LOSS=0.853082 | SOFTCLIP_LOSS=1.070848 | PCL_LOSS=0.275077 | MEAN_GATE=0.5065 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.7504 | DIAG_W=0.50 | BATCH_RMSE=0.923624
  STEP 2000/5739 | TOTAL_LOSS=2.628659 | REG_LOSS=2.447522 | SOFTCLIP_LOSS=1.219123 | PCL_LOSS=0.592250 | MEAN_GATE=0.5046 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6922 | DIAG_W=0.50 | BATCH_RMSE=1.564456
  STEP 2100/5739 | TOTAL_LOSS=3.829492 | REG_LOSS=3.648967 | SOFTCLIP_LOSS=1.246293 | PCL_LOSS=0.558957 | MEAN_GATE=0.5041 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6997 | DIAG_W=0.50 | BATCH_RMSE=1.910227
  STEP 2200/5739 | TOTAL_LOSS=1.072763 | REG_LOSS=0.843634 | SOFTCLIP_LOSS=1.264492 | PCL_LOSS=1.026797 | MEAN_GATE=0.5102 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.7228 | DIAG_W=0.50 | BATCH_RMSE=0.918496
  STEP 2300/5739 | TOTAL_LOSS=0.616416 | REG_LOSS=0.388513 | SOFTCLIP_LOSS=1.250961 | PCL_LOSS=1.028073 | MEAN_GATE=0.5030 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6191 | DIAG_W=0.50 | BATCH_RMSE=0.623308
  STEP 2400/5739 | TOTAL_LOSS=0.535762 | REG_LOSS=0.337807 | SOFTCLIP_LOSS=1.255150 | PCL_LOSS=0.724395 | MEAN_GATE=0.5073 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6345 | DIAG_W=0.50 | BATCH_RMSE=0.581212
  STEP 2500/5739 | TOTAL_LOSS=0.420812 | REG_LOSS=0.221832 | SOFTCLIP_LOSS=1.231348 | PCL_LOSS=0.758454 | MEAN_GATE=0.5051 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6802 | DIAG_W=0.50 | BATCH_RMSE=0.470991
  STEP 2600/5739 | TOTAL_LOSS=3.287526 | REG_LOSS=3.073780 | SOFTCLIP_LOSS=1.301243 | PCL_LOSS=0.836213 | MEAN_GATE=0.5057 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6623 | DIAG_W=0.50 | BATCH_RMSE=1.753220
  STEP 2700/5739 | TOTAL_LOSS=1.042061 | REG_LOSS=0.883099 | SOFTCLIP_LOSS=1.201889 | PCL_LOSS=0.387729 | MEAN_GATE=0.5052 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6129 | DIAG_W=0.50 | BATCH_RMSE=0.939734
  STEP 2800/5739 | TOTAL_LOSS=0.236192 | REG_LOSS=0.032980 | SOFTCLIP_LOSS=1.330881 | PCL_LOSS=0.701239 | MEAN_GATE=0.5039 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6321 | DIAG_W=0.50 | BATCH_RMSE=0.181605
  STEP 2900/5739 | TOTAL_LOSS=0.467172 | REG_LOSS=0.309797 | SOFTCLIP_LOSS=1.367063 | PCL_LOSS=0.206692 | MEAN_GATE=0.5025 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.5773 | DIAG_W=0.50 | BATCH_RMSE=0.556594
  STEP 3000/5739 | TOTAL_LOSS=0.481126 | REG_LOSS=0.309261 | SOFTCLIP_LOSS=1.039973 | PCL_LOSS=0.678680 | MEAN_GATE=0.5026 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.6415 | DIAG_W=0.50 | BATCH_RMSE=0.556113
  STEP 3100/5739 | TOTAL_LOSS=0.504815 | REG_LOSS=0.328329 | SOFTCLIP_LOSS=1.316838 | PCL_LOSS=0.448016 | MEAN_GATE=0.5013 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6286 | DIAG_W=0.50 | BATCH_RMSE=0.573000
  STEP 3200/5739 | TOTAL_LOSS=2.518673 | REG_LOSS=2.343443 | SOFTCLIP_LOSS=1.292013 | PCL_LOSS=0.460283 | MEAN_GATE=0.5044 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.5834 | DIAG_W=0.50 | BATCH_RMSE=1.530831
  STEP 3300/5739 | TOTAL_LOSS=0.589052 | REG_LOSS=0.404141 | SOFTCLIP_LOSS=1.084313 | PCL_LOSS=0.764799 | MEAN_GATE=0.5066 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.6677 | DIAG_W=0.50 | BATCH_RMSE=0.635721
  STEP 3400/5739 | TOTAL_LOSS=0.960336 | REG_LOSS=0.806802 | SOFTCLIP_LOSS=1.075023 | PCL_LOSS=0.460317 | MEAN_GATE=0.5020 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.5845 | DIAG_W=0.50 | BATCH_RMSE=0.898222
  STEP 3500/5739 | TOTAL_LOSS=0.244639 | REG_LOSS=0.046546 | SOFTCLIP_LOSS=1.151524 | PCL_LOSS=0.829405 | MEAN_GATE=0.5048 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.6501 | DIAG_W=0.50 | BATCH_RMSE=0.215746
  STEP 3600/5739 | TOTAL_LOSS=0.400277 | REG_LOSS=0.177568 | SOFTCLIP_LOSS=1.245534 | PCL_LOSS=0.981559 | MEAN_GATE=0.5072 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6458 | DIAG_W=0.50 | BATCH_RMSE=0.421388
  STEP 3700/5739 | TOTAL_LOSS=2.262590 | REG_LOSS=2.087265 | SOFTCLIP_LOSS=1.176151 | PCL_LOSS=0.577101 | MEAN_GATE=0.4994 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.7532 | DIAG_W=0.50 | BATCH_RMSE=1.444737
  STEP 3800/5739 | TOTAL_LOSS=1.426451 | REG_LOSS=1.220996 | SOFTCLIP_LOSS=1.301062 | PCL_LOSS=0.753493 | MEAN_GATE=0.5024 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6311 | DIAG_W=0.50 | BATCH_RMSE=1.104987
  STEP 3900/5739 | TOTAL_LOSS=0.289131 | REG_LOSS=0.134587 | SOFTCLIP_LOSS=1.166821 | PCL_LOSS=0.378625 | MEAN_GATE=0.5032 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.6214 | DIAG_W=0.50 | BATCH_RMSE=0.366860
  STEP 4000/5739 | TOTAL_LOSS=0.934544 | REG_LOSS=0.704140 | SOFTCLIP_LOSS=1.238168 | PCL_LOSS=1.065877 | MEAN_GATE=0.5097 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6410 | DIAG_W=0.50 | BATCH_RMSE=0.839130
  STEP 4100/5739 | TOTAL_LOSS=0.664569 | REG_LOSS=0.528885 | SOFTCLIP_LOSS=1.062048 | PCL_LOSS=0.294791 | MEAN_GATE=0.4985 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.6386 | DIAG_W=0.50 | BATCH_RMSE=0.727245
  STEP 4200/5739 | TOTAL_LOSS=0.639664 | REG_LOSS=0.424627 | SOFTCLIP_LOSS=1.232319 | PCL_LOSS=0.918053 | MEAN_GATE=0.4919 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6743 | DIAG_W=0.50 | BATCH_RMSE=0.651634
