Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 100/5739 | TOTAL_LOSS=0.343822 | REG_LOSS=0.075081 | SOFTCLIP_LOSS=1.313806 | PCL_LOSS=1.373605 | MEAN_GATE=0.5067 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.274009
  STEP 200/5739 | TOTAL_LOSS=1.571744 | REG_LOSS=1.308834 | SOFTCLIP_LOSS=1.247625 | PCL_LOSS=1.381474 | MEAN_GATE=0.5084 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=1.144043
  STEP 300/5739 | TOTAL_LOSS=0.444688 | REG_LOSS=0.174983 | SOFTCLIP_LOSS=1.249592 | PCL_LOSS=1.447461 | MEAN_GATE=0.5081 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.418309
  STEP 400/5739 | TOTAL_LOSS=0.610305 | REG_LOSS=0.336408 | SOFTCLIP_LOSS=1.321412 | PCL_LOSS=1.417559 | MEAN_GATE=0.5079 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.580007
  STEP 500/5739 | TOTAL_LOSS=0.473116 | REG_LOSS=0.222679 | SOFTCLIP_LOSS=1.271894 | PCL_LOSS=1.232474 | MEAN_GATE=0.5128 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.471889
  STEP 600/5739 | TOTAL_LOSS=0.685399 | REG_LOSS=0.432262 | SOFTCLIP_LOSS=1.171837 | PCL_LOSS=1.359534 | MEAN_GATE=0.5089 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.657467
  STEP 700/5739 | TOTAL_LOSS=0.449806 | REG_LOSS=0.224672 | SOFTCLIP_LOSS=1.218820 | PCL_LOSS=1.032521 | MEAN_GATE=0.5137 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.473996
  STEP 800/5739 | TOTAL_LOSS=0.456420 | REG_LOSS=0.197930 | SOFTCLIP_LOSS=1.156990 | PCL_LOSS=1.427911 | MEAN_GATE=0.5090 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.444893
  STEP 900/5739 | TOTAL_LOSS=1.243199 | REG_LOSS=1.049179 | SOFTCLIP_LOSS=1.201521 | PCL_LOSS=0.738678 | MEAN_GATE=0.5095 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=1.024294
  STEP 1000/5739 | TOTAL_LOSS=0.362540 | REG_LOSS=0.140362 | SOFTCLIP_LOSS=1.339604 | PCL_LOSS=0.882178 | MEAN_GATE=0.5148 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.374649
  STEP 1100/5739 | TOTAL_LOSS=2.446741 | REG_LOSS=2.268880 | SOFTCLIP_LOSS=1.089082 | PCL_LOSS=0.689535 | MEAN_GATE=0.5116 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=1.506280
  STEP 1200/5739 | TOTAL_LOSS=1.430309 | REG_LOSS=1.235098 | SOFTCLIP_LOSS=1.053756 | PCL_LOSS=0.898357 | MEAN_GATE=0.5121 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | BATCH_RMSE=1.111350
