Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=0.343822 | REG_LOSS=0.075081 | SOFTCLIP_LOSS=1.313806 | PCL_LOSS=1.373605 | MEAN_GATE=0.5067 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2110 | DIAG_W=0.00 | BATCH_RMSE=0.274009
  STEP 200/5739 | TOTAL_LOSS=1.571744 | REG_LOSS=1.308835 | SOFTCLIP_LOSS=1.247625 | PCL_LOSS=1.381474 | MEAN_GATE=0.5084 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2675 | DIAG_W=0.00 | BATCH_RMSE=1.144043
  STEP 300/5739 | TOTAL_LOSS=0.444688 | REG_LOSS=0.174983 | SOFTCLIP_LOSS=1.249592 | PCL_LOSS=1.447461 | MEAN_GATE=0.5081 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.1356 | DIAG_W=0.00 | BATCH_RMSE=0.418310
  STEP 400/5739 | TOTAL_LOSS=0.610305 | REG_LOSS=0.336408 | SOFTCLIP_LOSS=1.321412 | PCL_LOSS=1.417559 | MEAN_GATE=0.5079 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2493 | DIAG_W=0.00 | BATCH_RMSE=0.580007
  STEP 500/5739 | TOTAL_LOSS=0.473116 | REG_LOSS=0.222679 | SOFTCLIP_LOSS=1.271894 | PCL_LOSS=1.232474 | MEAN_GATE=0.5128 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3298 | DIAG_W=0.00 | BATCH_RMSE=0.471889
  STEP 600/5739 | TOTAL_LOSS=0.685400 | REG_LOSS=0.432262 | SOFTCLIP_LOSS=1.171837 | PCL_LOSS=1.359536 | MEAN_GATE=0.5089 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3760 | DIAG_W=0.00 | BATCH_RMSE=0.657467
  STEP 700/5739 | TOTAL_LOSS=0.449804 | REG_LOSS=0.224670 | SOFTCLIP_LOSS=1.218819 | PCL_LOSS=1.032524 | MEAN_GATE=0.5137 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2335 | DIAG_W=0.00 | BATCH_RMSE=0.473993
  STEP 800/5739 | TOTAL_LOSS=0.456263 | REG_LOSS=0.197944 | SOFTCLIP_LOSS=1.156838 | PCL_LOSS=1.426354 | MEAN_GATE=0.5090 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3333 | DIAG_W=0.00 | BATCH_RMSE=0.444909
  STEP 900/5739 | TOTAL_LOSS=1.241278 | REG_LOSS=1.049347 | SOFTCLIP_LOSS=1.201575 | PCL_LOSS=0.717728 | MEAN_GATE=0.5095 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4217 | DIAG_W=0.00 | BATCH_RMSE=1.024377
  STEP 1000/5739 | TOTAL_LOSS=0.363547 | REG_LOSS=0.140996 | SOFTCLIP_LOSS=1.339299 | PCL_LOSS=0.886205 | MEAN_GATE=0.5149 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3442 | DIAG_W=0.00 | BATCH_RMSE=0.375495
  STEP 1100/5739 | TOTAL_LOSS=2.447319 | REG_LOSS=2.268438 | SOFTCLIP_LOSS=1.096280 | PCL_LOSS=0.692532 | MEAN_GATE=0.5116 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4582 | DIAG_W=0.00 | BATCH_RMSE=1.506133
  STEP 1200/5739 | TOTAL_LOSS=1.434362 | REG_LOSS=1.236627 | SOFTCLIP_LOSS=1.057861 | PCL_LOSS=0.919490 | MEAN_GATE=0.5122 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4134 | DIAG_W=0.00 | BATCH_RMSE=1.112037
  STEP 1300/5739 | TOTAL_LOSS=2.117019 | REG_LOSS=1.917194 | SOFTCLIP_LOSS=1.269667 | PCL_LOSS=0.728591 | MEAN_GATE=0.5120 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2276 | DIAG_W=0.00 | BATCH_RMSE=1.384628
  STEP 1400/5739 | TOTAL_LOSS=2.118878 | REG_LOSS=1.771010 | SOFTCLIP_LOSS=0.930915 | PCL_LOSS=2.547764 | MEAN_GATE=0.5099 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.3981 | DIAG_W=0.00 | BATCH_RMSE=1.330793
  STEP 1500/5739 | TOTAL_LOSS=0.312889 | REG_LOSS=0.144773 | SOFTCLIP_LOSS=1.167093 | PCL_LOSS=0.514065 | MEAN_GATE=0.5052 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3174 | DIAG_W=0.00 | BATCH_RMSE=0.380490
  STEP 1600/5739 | TOTAL_LOSS=3.328003 | REG_LOSS=3.048538 | SOFTCLIP_LOSS=1.367129 | PCL_LOSS=1.427525 | MEAN_GATE=0.5045 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.4033 | DIAG_W=0.00 | BATCH_RMSE=1.746006
  STEP 1700/5739 | TOTAL_LOSS=0.345703 | REG_LOSS=0.179992 | SOFTCLIP_LOSS=1.089132 | PCL_LOSS=0.567983 | MEAN_GATE=0.5074 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3337 | DIAG_W=0.00 | BATCH_RMSE=0.424255
  STEP 1800/5739 | TOTAL_LOSS=0.325685 | REG_LOSS=0.128119 | SOFTCLIP_LOSS=1.269698 | PCL_LOSS=0.705967 | MEAN_GATE=0.5151 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2066 | DIAG_W=0.00 | BATCH_RMSE=0.357937
  STEP 1900/5739 | TOTAL_LOSS=0.983264 | REG_LOSS=0.850944 | SOFTCLIP_LOSS=1.070044 | PCL_LOSS=0.253161 | MEAN_GATE=0.5107 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.5007 | DIAG_W=0.00 | BATCH_RMSE=0.922466
