nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 30056
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 30056
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/500
  STEP 1300/5739 | TOTAL_LOSS=0.462136 | REG_LOSS=0.145390 | SOFTCLIP_LOSS=1.310110 | PCL_LOSS=2.774430 | DRUG_PCL=1.382307 | PROT_PCL=1.392123 | MEAN_GATE=0.5317 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3036 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.381301
  STEP 1400/5739 | TOTAL_LOSS=0.705574 | REG_LOSS=0.400793 | SOFTCLIP_LOSS=0.824063 | PCL_LOSS=2.800595 | DRUG_PCL=1.414682 | PROT_PCL=1.385913 | MEAN_GATE=0.5242 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.4653 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.633082
  STEP 1500/5739 | TOTAL_LOSS=1.364665 | REG_LOSS=1.060259 | SOFTCLIP_LOSS=0.956489 | PCL_LOSS=2.757119 | DRUG_PCL=1.380651 | PROT_PCL=1.376469 | MEAN_GATE=0.5268 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.3603 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.029689
  STEP 1600/5739 | TOTAL_LOSS=1.000089 | REG_LOSS=0.697687 | SOFTCLIP_LOSS=0.967967 | PCL_LOSS=2.733633 | DRUG_PCL=1.344061 | PROT_PCL=1.389571 | MEAN_GATE=0.5185 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.5314 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.835276
  STEP 1700/5739 | TOTAL_LOSS=1.979865 | REG_LOSS=1.663015 | SOFTCLIP_LOSS=1.311508 | PCL_LOSS=2.775044 | DRUG_PCL=1.377239 | PROT_PCL=1.397806 | MEAN_GATE=0.5123 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3307 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.289579
  STEP 1800/5739 | TOTAL_LOSS=3.006217 | REG_LOSS=2.697970 | SOFTCLIP_LOSS=1.168489 | PCL_LOSS=2.731919 | DRUG_PCL=1.341136 | PROT_PCL=1.390783 | MEAN_GATE=0.5168 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4295 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.642550
  STEP 1900/5739 | TOTAL_LOSS=0.496487 | REG_LOSS=0.179923 | SOFTCLIP_LOSS=1.181861 | PCL_LOSS=2.811082 | DRUG_PCL=1.428138 | PROT_PCL=1.382944 | MEAN_GATE=0.5112 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3125 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.424173
  STEP 2000/5739 | TOTAL_LOSS=0.898381 | REG_LOSS=0.597030 | SOFTCLIP_LOSS=0.837019 | PCL_LOSS=2.762402 | DRUG_PCL=1.360415 | PROT_PCL=1.401987 | MEAN_GATE=0.5257 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.5642 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.772677
  STEP 2100/5739 | TOTAL_LOSS=0.425690 | REG_LOSS=0.123324 | SOFTCLIP_LOSS=0.996092 | PCL_LOSS=2.724836 | DRUG_PCL=1.350307 | PROT_PCL=1.374529 | MEAN_GATE=0.5218 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.2858 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.351175
  STEP 2200/5739 | TOTAL_LOSS=1.325396 | REG_LOSS=1.027582 | SOFTCLIP_LOSS=1.019021 | PCL_LOSS=2.672432 | DRUG_PCL=1.283555 | PROT_PCL=1.388878 | MEAN_GATE=0.5280 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3220 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.013697
  STEP 2300/5739 | TOTAL_LOSS=0.477932 | REG_LOSS=0.164054 | SOFTCLIP_LOSS=1.245702 | PCL_LOSS=2.765071 | DRUG_PCL=1.373665 | PROT_PCL=1.391406 | MEAN_GATE=0.5200 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3029 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.405035
