Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(diag-mul) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=0.344008 | REG_LOSS=0.075071 | SOFTCLIP_LOSS=1.313345 | PCL_LOSS=1.376021 | MEAN_GATE=0.5067 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2854 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.273991
  STEP 200/5739 | TOTAL_LOSS=1.570277 | REG_LOSS=1.308703 | SOFTCLIP_LOSS=1.245123 | PCL_LOSS=1.370622 | MEAN_GATE=0.5083 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3482 | DIAG_ALPHA=0.50 | BATCH_RMSE=1.143986
  STEP 300/5739 | TOTAL_LOSS=0.446378 | REG_LOSS=0.175158 | SOFTCLIP_LOSS=1.262252 | PCL_LOSS=1.449947 | MEAN_GATE=0.5081 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.1820 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.418519
  STEP 400/5739 | TOTAL_LOSS=0.608422 | REG_LOSS=0.335960 | SOFTCLIP_LOSS=1.324587 | PCL_LOSS=1.400032 | MEAN_GATE=0.5075 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3221 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.579620
  STEP 500/5739 | TOTAL_LOSS=0.473417 | REG_LOSS=0.222763 | SOFTCLIP_LOSS=1.266833 | PCL_LOSS=1.239714 | MEAN_GATE=0.5127 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4175 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.471977
  STEP 600/5739 | TOTAL_LOSS=0.686589 | REG_LOSS=0.431967 | SOFTCLIP_LOSS=1.181018 | PCL_LOSS=1.365200 | MEAN_GATE=0.5090 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4510 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.657242
  STEP 700/5739 | TOTAL_LOSS=0.449432 | REG_LOSS=0.224421 | SOFTCLIP_LOSS=1.235469 | PCL_LOSS=1.014637 | MEAN_GATE=0.5139 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3041 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.473731
  STEP 800/5739 | TOTAL_LOSS=0.465606 | REG_LOSS=0.198952 | SOFTCLIP_LOSS=1.159638 | PCL_LOSS=1.506900 | MEAN_GATE=0.5092 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4238 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.446040
  STEP 900/5739 | TOTAL_LOSS=1.261301 | REG_LOSS=1.050303 | SOFTCLIP_LOSS=1.195207 | PCL_LOSS=0.914778 | MEAN_GATE=0.5095 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4832 | DIAG_ALPHA=0.50 | BATCH_RMSE=1.024843
  STEP 1000/5739 | TOTAL_LOSS=0.361557 | REG_LOSS=0.141771 | SOFTCLIP_LOSS=1.333902 | PCL_LOSS=0.863954 | MEAN_GATE=0.5149 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4376 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.376525
  STEP 1100/5739 | TOTAL_LOSS=2.446455 | REG_LOSS=2.271516 | SOFTCLIP_LOSS=1.103359 | PCL_LOSS=0.646034 | MEAN_GATE=0.5117 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.5328 | DIAG_ALPHA=0.50 | BATCH_RMSE=1.507155
