nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(diag-mul) + pcl(protein1d-protein3d)
RESUMED FROM: outputs/davis_softclip_pcl_diagmul_bs4_ep200_a05_gpu0/latest_model.pt | start_epoch=44 | best_val_rmse=0.555825

EPOCH 44/200
  STEP 100/5739 | TOTAL_LOSS=0.145332 | REG_LOSS=0.021216 | SOFTCLIP_LOSS=1.241162 | PCL_LOSS=0.000000 | MEAN_GATE=0.3616 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2854 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.145658
  STEP 200/5739 | TOTAL_LOSS=0.301955 | REG_LOSS=0.190036 | SOFTCLIP_LOSS=1.118032 | PCL_LOSS=0.001153 | MEAN_GATE=0.3500 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3482 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.435931
  STEP 300/5739 | TOTAL_LOSS=0.139748 | REG_LOSS=0.029817 | SOFTCLIP_LOSS=1.011499 | PCL_LOSS=0.087805 | MEAN_GATE=0.3547 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.1820 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.172677
  STEP 400/5739 | TOTAL_LOSS=0.503712 | REG_LOSS=0.355036 | SOFTCLIP_LOSS=1.277073 | PCL_LOSS=0.209687 | MEAN_GATE=0.3999 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3221 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.595849
  STEP 500/5739 | TOTAL_LOSS=0.316851 | REG_LOSS=0.191713 | SOFTCLIP_LOSS=1.251379 | PCL_LOSS=0.000004 | MEAN_GATE=0.3426 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4175 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.437851
  STEP 600/5739 | TOTAL_LOSS=0.665012 | REG_LOSS=0.557375 | SOFTCLIP_LOSS=1.076372 | PCL_LOSS=0.000001 | MEAN_GATE=0.3643 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4510 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.746575
  STEP 700/5739 | TOTAL_LOSS=0.187809 | REG_LOSS=0.087965 | SOFTCLIP_LOSS=0.998420 | PCL_LOSS=0.000014 | MEAN_GATE=0.3577 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3041 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.296590
  STEP 800/5739 | TOTAL_LOSS=0.214172 | REG_LOSS=0.099300 | SOFTCLIP_LOSS=1.147987 | PCL_LOSS=0.000736 | MEAN_GATE=0.3730 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4238 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.315119
  STEP 900/5739 | TOTAL_LOSS=0.176971 | REG_LOSS=0.070993 | SOFTCLIP_LOSS=1.007245 | PCL_LOSS=0.052534 | MEAN_GATE=0.3018 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4832 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.266446
  STEP 1000/5739 | TOTAL_LOSS=0.217064 | REG_LOSS=0.075279 | SOFTCLIP_LOSS=1.354239 | PCL_LOSS=0.063613 | MEAN_GATE=0.3765 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4376 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.274369
  STEP 1100/5739 | TOTAL_LOSS=0.304524 | REG_LOSS=0.225132 | SOFTCLIP_LOSS=0.783250 | PCL_LOSS=0.010667 | MEAN_GATE=0.3846 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.5328 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.474481
  STEP 1200/5739 | TOTAL_LOSS=0.300580 | REG_LOSS=0.219304 | SOFTCLIP_LOSS=0.811605 | PCL_LOSS=0.001152 | MEAN_GATE=0.2944 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4806 | DIAG_ALPHA=0.50 | BATCH_RMSE=0.468299
