Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + protein(1d-3d) contrastive learning

EPOCH 1/30
  STEP 100/2870 | TOTAL_LOSS=1.194634 | REG_LOSS=0.985543 | PCL_LOSS=2.090908 | MEAN_GATE=0.5092 | BATCH_RMSE=0.992745
  STEP 200/2870 | TOTAL_LOSS=0.533184 | REG_LOSS=0.323312 | PCL_LOSS=2.098722 | MEAN_GATE=0.5103 | BATCH_RMSE=0.568605
  STEP 300/2870 | TOTAL_LOSS=2.054932 | REG_LOSS=1.846307 | PCL_LOSS=2.086253 | MEAN_GATE=0.5142 | BATCH_RMSE=1.358789
  STEP 400/2870 | TOTAL_LOSS=2.766063 | REG_LOSS=2.596153 | PCL_LOSS=1.699096 | MEAN_GATE=0.5134 | BATCH_RMSE=1.611258
  STEP 500/2870 | TOTAL_LOSS=2.065936 | REG_LOSS=1.906779 | PCL_LOSS=1.591577 | MEAN_GATE=0.5177 | BATCH_RMSE=1.380862
  STEP 600/2870 | TOTAL_LOSS=0.664157 | REG_LOSS=0.529837 | PCL_LOSS=1.343195 | MEAN_GATE=0.5260 | BATCH_RMSE=0.727899
  STEP 700/2870 | TOTAL_LOSS=1.695943 | REG_LOSS=1.560347 | PCL_LOSS=1.355961 | MEAN_GATE=0.5369 | BATCH_RMSE=1.249139
  STEP 800/2870 | TOTAL_LOSS=0.744964 | REG_LOSS=0.577285 | PCL_LOSS=1.676793 | MEAN_GATE=0.5248 | BATCH_RMSE=0.759793
  STEP 900/2870 | TOTAL_LOSS=1.276875 | REG_LOSS=1.150920 | PCL_LOSS=1.259545 | MEAN_GATE=0.5303 | BATCH_RMSE=1.072810
  STEP 1000/2870 | TOTAL_LOSS=0.905134 | REG_LOSS=0.642532 | PCL_LOSS=2.626024 | MEAN_GATE=0.5195 | BATCH_RMSE=0.801581
  STEP 1100/2870 | TOTAL_LOSS=0.383512 | REG_LOSS=0.259488 | PCL_LOSS=1.240236 | MEAN_GATE=0.5211 | BATCH_RMSE=0.509400
  STEP 1200/2870 | TOTAL_LOSS=0.678617 | REG_LOSS=0.535422 | PCL_LOSS=1.431957 | MEAN_GATE=0.5238 | BATCH_RMSE=0.731725
  STEP 1300/2870 | TOTAL_LOSS=0.417916 | REG_LOSS=0.304372 | PCL_LOSS=1.135443 | MEAN_GATE=0.5266 | BATCH_RMSE=0.551699
  STEP 1400/2870 | TOTAL_LOSS=0.376739 | REG_LOSS=0.259860 | PCL_LOSS=1.168797 | MEAN_GATE=0.5257 | BATCH_RMSE=0.509764
  STEP 1500/2870 | TOTAL_LOSS=1.276103 | REG_LOSS=1.187392 | PCL_LOSS=0.887100 | MEAN_GATE=0.5367 | BATCH_RMSE=1.089675
  STEP 1600/2870 | TOTAL_LOSS=0.505458 | REG_LOSS=0.434461 | PCL_LOSS=0.709962 | MEAN_GATE=0.5437 | BATCH_RMSE=0.659137
  STEP 1700/2870 | TOTAL_LOSS=1.403489 | REG_LOSS=1.283574 | PCL_LOSS=1.199150 | MEAN_GATE=0.5245 | BATCH_RMSE=1.132949
  STEP 1800/2870 | TOTAL_LOSS=3.021253 | REG_LOSS=2.921774 | PCL_LOSS=0.994786 | MEAN_GATE=0.5215 | BATCH_RMSE=1.709320
  STEP 1900/2870 | TOTAL_LOSS=0.775439 | REG_LOSS=0.682122 | PCL_LOSS=0.933171 | MEAN_GATE=0.5226 | BATCH_RMSE=0.825907
