Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + affinity-aware soft CLIP

EPOCH 1/30
  STEP 100/1435 | TOTAL_LOSS=0.678415 | REG_LOSS=0.422956 | SOFTCLIP_LOSS=2.554587 | MEAN_VALID_PER_ROW=13.38 | MEAN_VALID_OFFDIAG=12.38 | BATCH_RMSE=0.650351
  STEP 200/1435 | TOTAL_LOSS=0.451321 | REG_LOSS=0.197167 | SOFTCLIP_LOSS=2.541542 | MEAN_VALID_PER_ROW=13.31 | MEAN_VALID_OFFDIAG=12.31 | BATCH_RMSE=0.444034
  STEP 300/1435 | TOTAL_LOSS=1.297371 | REG_LOSS=1.054577 | SOFTCLIP_LOSS=2.427933 | MEAN_VALID_PER_ROW=12.75 | MEAN_VALID_OFFDIAG=11.75 | BATCH_RMSE=1.026926
  STEP 400/1435 | TOTAL_LOSS=1.646620 | REG_LOSS=1.397875 | SOFTCLIP_LOSS=2.487453 | MEAN_VALID_PER_ROW=13.19 | MEAN_VALID_OFFDIAG=12.19 | BATCH_RMSE=1.182317
  STEP 500/1435 | TOTAL_LOSS=1.088151 | REG_LOSS=0.837157 | SOFTCLIP_LOSS=2.509937 | MEAN_VALID_PER_ROW=13.50 | MEAN_VALID_OFFDIAG=12.50 | BATCH_RMSE=0.914963
  STEP 600/1435 | TOTAL_LOSS=1.516206 | REG_LOSS=1.262424 | SOFTCLIP_LOSS=2.537820 | MEAN_VALID_PER_ROW=13.69 | MEAN_VALID_OFFDIAG=12.69 | BATCH_RMSE=1.123577
  STEP 700/1435 | TOTAL_LOSS=1.858355 | REG_LOSS=1.616553 | SOFTCLIP_LOSS=2.418019 | MEAN_VALID_PER_ROW=12.94 | MEAN_VALID_OFFDIAG=11.94 | BATCH_RMSE=1.271438
  STEP 800/1435 | TOTAL_LOSS=2.201002 | REG_LOSS=1.950281 | SOFTCLIP_LOSS=2.507209 | MEAN_VALID_PER_ROW=13.50 | MEAN_VALID_OFFDIAG=12.50 | BATCH_RMSE=1.396525
  STEP 900/1435 | TOTAL_LOSS=0.612070 | REG_LOSS=0.364944 | SOFTCLIP_LOSS=2.471266 | MEAN_VALID_PER_ROW=12.44 | MEAN_VALID_OFFDIAG=11.44 | BATCH_RMSE=0.604106
  STEP 1000/1435 | TOTAL_LOSS=0.689038 | REG_LOSS=0.435685 | SOFTCLIP_LOSS=2.533532 | MEAN_VALID_PER_ROW=13.06 | MEAN_VALID_OFFDIAG=12.06 | BATCH_RMSE=0.660064
  STEP 1100/1435 | TOTAL_LOSS=0.612513 | REG_LOSS=0.360282 | SOFTCLIP_LOSS=2.522303 | MEAN_VALID_PER_ROW=12.62 | MEAN_VALID_OFFDIAG=11.62 | BATCH_RMSE=0.600235
