Using device: cuda
[DavisDatasetP13D] input pairs: 118254
[DavisDatasetP13D] kept pairs : 118254
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 118254
TRAIN SIZE: 94603
VAL SIZE: 23651
SPLIT JSON: data/splits/kiba_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 1500/5913 | TOTAL_LOSS=0.732317 | REG_LOSS=0.241121 | SOFTCLIP_LOSS=2.118870 | PCL_LOSS=2.793090 | MEAN_GATE=0.5812 | MEAN_VALID_PER_ROW=9.19 | MEAN_VALID_OFFDIAG=8.19 | MEAN_DIAG_PRIOR_MASS=0.1150 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.491041
  STEP 1600/5913 | TOTAL_LOSS=1.437140 | REG_LOSS=0.968083 | SOFTCLIP_LOSS=1.939383 | PCL_LOSS=2.751185 | MEAN_GATE=0.5833 | MEAN_VALID_PER_ROW=8.62 | MEAN_VALID_OFFDIAG=7.62 | MEAN_DIAG_PRIOR_MASS=0.2033 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.983912
  STEP 1700/5913 | TOTAL_LOSS=1.407108 | REG_LOSS=0.917824 | SOFTCLIP_LOSS=2.117821 | PCL_LOSS=2.775018 | MEAN_GATE=0.5741 | MEAN_VALID_PER_ROW=9.00 | MEAN_VALID_OFFDIAG=8.00 | MEAN_DIAG_PRIOR_MASS=0.1720 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.958031
  STEP 1800/5913 | TOTAL_LOSS=1.120678 | REG_LOSS=0.633408 | SOFTCLIP_LOSS=2.098111 | PCL_LOSS=2.774585 | MEAN_GATE=0.5664 | MEAN_VALID_PER_ROW=9.38 | MEAN_VALID_OFFDIAG=8.38 | MEAN_DIAG_PRIOR_MASS=0.1591 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.795869
  STEP 1900/5913 | TOTAL_LOSS=0.959180 | REG_LOSS=0.492030 | SOFTCLIP_LOSS=1.892825 | PCL_LOSS=2.778668 | MEAN_GATE=0.5726 | MEAN_VALID_PER_ROW=7.44 | MEAN_VALID_OFFDIAG=6.44 | MEAN_DIAG_PRIOR_MASS=0.1854 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.701449
  STEP 2000/5913 | TOTAL_LOSS=1.603501 | REG_LOSS=1.136748 | SOFTCLIP_LOSS=1.890022 | PCL_LOSS=2.777515 | MEAN_GATE=0.5732 | MEAN_VALID_PER_ROW=7.94 | MEAN_VALID_OFFDIAG=6.94 | MEAN_DIAG_PRIOR_MASS=0.2586 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.066184
  STEP 2100/5913 | TOTAL_LOSS=1.887635 | REG_LOSS=1.416964 | SOFTCLIP_LOSS=1.955335 | PCL_LOSS=2.751375 | MEAN_GATE=0.5846 | MEAN_VALID_PER_ROW=8.44 | MEAN_VALID_OFFDIAG=7.44 | MEAN_DIAG_PRIOR_MASS=0.1989 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.190363
  STEP 2200/5913 | TOTAL_LOSS=1.053910 | REG_LOSS=0.559863 | SOFTCLIP_LOSS=2.195064 | PCL_LOSS=2.745413 | MEAN_GATE=0.5734 | MEAN_VALID_PER_ROW=10.25 | MEAN_VALID_OFFDIAG=9.25 | MEAN_DIAG_PRIOR_MASS=0.1517 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.748240
  STEP 2300/5913 | TOTAL_LOSS=0.721567 | REG_LOSS=0.286897 | SOFTCLIP_LOSS=1.575796 | PCL_LOSS=2.770904 | MEAN_GATE=0.5804 | MEAN_VALID_PER_ROW=6.25 | MEAN_VALID_OFFDIAG=5.25 | MEAN_DIAG_PRIOR_MASS=0.3450 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.535628
  STEP 2400/5913 | TOTAL_LOSS=2.203245 | REG_LOSS=1.712366 | SOFTCLIP_LOSS=2.035455 | PCL_LOSS=2.873337 | MEAN_GATE=0.5859 | MEAN_VALID_PER_ROW=8.94 | MEAN_VALID_OFFDIAG=7.94 | MEAN_DIAG_PRIOR_MASS=0.2125 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.308574
