Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 2000/5739 | TOTAL_LOSS=2.628617 | REG_LOSS=2.454860 | SOFTCLIP_LOSS=1.116667 | PCL_LOSS=0.620899 | MEAN_GATE=0.5061 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=1.566799
  STEP 2100/5739 | TOTAL_LOSS=3.817245 | REG_LOSS=3.641150 | SOFTCLIP_LOSS=1.209699 | PCL_LOSS=0.551250 | MEAN_GATE=0.5088 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=1.908180
  STEP 2200/5739 | TOTAL_LOSS=1.064702 | REG_LOSS=0.846357 | SOFTCLIP_LOSS=1.283420 | PCL_LOSS=0.900028 | MEAN_GATE=0.5156 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.919977
  STEP 2300/5739 | TOTAL_LOSS=0.617144 | REG_LOSS=0.381200 | SOFTCLIP_LOSS=1.241067 | PCL_LOSS=1.118376 | MEAN_GATE=0.5043 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.617414
  STEP 2400/5739 | TOTAL_LOSS=0.544215 | REG_LOSS=0.338863 | SOFTCLIP_LOSS=1.250715 | PCL_LOSS=0.802802 | MEAN_GATE=0.5111 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.582119
  STEP 2500/5739 | TOTAL_LOSS=0.427481 | REG_LOSS=0.218588 | SOFTCLIP_LOSS=1.190173 | PCL_LOSS=0.898760 | MEAN_GATE=0.5072 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.467534
  STEP 2600/5739 | TOTAL_LOSS=3.282924 | REG_LOSS=3.076994 | SOFTCLIP_LOSS=1.227463 | PCL_LOSS=0.831833 | MEAN_GATE=0.5096 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=1.754136
  STEP 2700/5739 | TOTAL_LOSS=1.035226 | REG_LOSS=0.882274 | SOFTCLIP_LOSS=1.172925 | PCL_LOSS=0.356595 | MEAN_GATE=0.5092 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.939294
  STEP 2800/5739 | TOTAL_LOSS=0.238834 | REG_LOSS=0.032984 | SOFTCLIP_LOSS=1.332815 | PCL_LOSS=0.725688 | MEAN_GATE=0.5071 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.181615
  STEP 2900/5739 | TOTAL_LOSS=0.459114 | REG_LOSS=0.303499 | SOFTCLIP_LOSS=1.348047 | PCL_LOSS=0.208106 | MEAN_GATE=0.5056 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | BATCH_RMSE=0.550907
