nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)
RESUMED FROM: outputs/davis_softclip_pcl_labelsim_bs4_ep200_t10_m05_gpu0/latest_model.pt | start_epoch=39 | best_val_rmse=0.546928

EPOCH 39/200
  STEP 1500/5739 | TOTAL_LOSS=0.176489 | REG_LOSS=0.059898 | SOFTCLIP_LOSS=1.165912 | PCL_LOSS=0.000000 | MEAN_GATE=0.3041 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3161 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.244741
  STEP 1600/5739 | TOTAL_LOSS=0.149857 | REG_LOSS=0.033580 | SOFTCLIP_LOSS=1.162556 | PCL_LOSS=0.000217 | MEAN_GATE=0.2727 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.4128 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.183249
  STEP 1700/5739 | TOTAL_LOSS=0.168483 | REG_LOSS=0.057253 | SOFTCLIP_LOSS=1.111563 | PCL_LOSS=0.000728 | MEAN_GATE=0.3192 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3376 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.239277
  STEP 1800/5739 | TOTAL_LOSS=0.179540 | REG_LOSS=0.031198 | SOFTCLIP_LOSS=1.202561 | PCL_LOSS=0.280864 | MEAN_GATE=0.4114 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2475 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.176629
  STEP 1900/5739 | TOTAL_LOSS=0.870205 | REG_LOSS=0.772327 | SOFTCLIP_LOSS=0.977498 | PCL_LOSS=0.001284 | MEAN_GATE=0.3601 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4544 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.878821
  STEP 2000/5739 | TOTAL_LOSS=1.313936 | REG_LOSS=1.208615 | SOFTCLIP_LOSS=1.044785 | PCL_LOSS=0.008429 | MEAN_GATE=0.2445 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4055 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.099370
  STEP 2100/5739 | TOTAL_LOSS=0.396848 | REG_LOSS=0.286652 | SOFTCLIP_LOSS=1.068163 | PCL_LOSS=0.033797 | MEAN_GATE=0.3411 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4243 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.535399
  STEP 2200/5739 | TOTAL_LOSS=0.718341 | REG_LOSS=0.560987 | SOFTCLIP_LOSS=1.230854 | PCL_LOSS=0.342681 | MEAN_GATE=0.3497 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4048 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.748991
  STEP 2300/5739 | TOTAL_LOSS=0.263159 | REG_LOSS=0.087638 | SOFTCLIP_LOSS=1.205366 | PCL_LOSS=0.549836 | MEAN_GATE=0.3000 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2643 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.296038
  STEP 2400/5739 | TOTAL_LOSS=0.887071 | REG_LOSS=0.748349 | SOFTCLIP_LOSS=1.222346 | PCL_LOSS=0.164876 | MEAN_GATE=0.2836 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2747 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.865072
