Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=0.345068 | REG_LOSS=0.075420 | SOFTCLIP_LOSS=1.321533 | PCL_LOSS=1.374946 | MEAN_GATE=0.5067 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2299 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.274626
  STEP 200/5739 | TOTAL_LOSS=1.570395 | REG_LOSS=1.308028 | SOFTCLIP_LOSS=1.245493 | PCL_LOSS=1.378181 | MEAN_GATE=0.5083 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2757 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.143690
  STEP 300/5739 | TOTAL_LOSS=0.444787 | REG_LOSS=0.175115 | SOFTCLIP_LOSS=1.241852 | PCL_LOSS=1.454871 | MEAN_GATE=0.5081 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2088 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.418468
  STEP 400/5739 | TOTAL_LOSS=0.609481 | REG_LOSS=0.336108 | SOFTCLIP_LOSS=1.319739 | PCL_LOSS=1.413996 | MEAN_GATE=0.5075 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2683 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.579748
  STEP 500/5739 | TOTAL_LOSS=0.476134 | REG_LOSS=0.223433 | SOFTCLIP_LOSS=1.291566 | PCL_LOSS=1.235446 | MEAN_GATE=0.5126 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3065 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.472687
  STEP 600/5739 | TOTAL_LOSS=0.685426 | REG_LOSS=0.432032 | SOFTCLIP_LOSS=1.163573 | PCL_LOSS=1.370367 | MEAN_GATE=0.5087 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3558 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.657291
  STEP 700/5739 | TOTAL_LOSS=0.468388 | REG_LOSS=0.224443 | SOFTCLIP_LOSS=1.240862 | PCL_LOSS=1.198585 | MEAN_GATE=0.5135 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2626 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.473754
  STEP 800/5739 | TOTAL_LOSS=0.451317 | REG_LOSS=0.198583 | SOFTCLIP_LOSS=1.151016 | PCL_LOSS=1.376330 | MEAN_GATE=0.5093 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3333 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.445626
  STEP 900/5739 | TOTAL_LOSS=1.277072 | REG_LOSS=1.048872 | SOFTCLIP_LOSS=1.210396 | PCL_LOSS=1.071605 | MEAN_GATE=0.5092 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4298 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.024145
  STEP 1000/5739 | TOTAL_LOSS=0.368221 | REG_LOSS=0.142016 | SOFTCLIP_LOSS=1.324095 | PCL_LOSS=0.937958 | MEAN_GATE=0.5146 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3127 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.376850
  STEP 1100/5739 | TOTAL_LOSS=2.456459 | REG_LOSS=2.273079 | SOFTCLIP_LOSS=1.156735 | PCL_LOSS=0.677066 | MEAN_GATE=0.5111 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4578 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.507673
  STEP 1200/5739 | TOTAL_LOSS=1.519111 | REG_LOSS=1.293726 | SOFTCLIP_LOSS=1.071304 | PCL_LOSS=1.182544 | MEAN_GATE=0.5114 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4222 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.137421
  STEP 1300/5739 | TOTAL_LOSS=2.168082 | REG_LOSS=1.916636 | SOFTCLIP_LOSS=1.291704 | PCL_LOSS=1.222748 | MEAN_GATE=0.5114 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2432 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.384426
