Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(diag-mul) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 1600/5739 | TOTAL_LOSS=3.341542 | REG_LOSS=3.047195 | SOFTCLIP_LOSS=1.380239 | PCL_LOSS=1.563234 | MEAN_GATE=0.5038 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.4306 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.745622
  STEP 1700/5739 | TOTAL_LOSS=0.355050 | REG_LOSS=0.179000 | SOFTCLIP_LOSS=1.090804 | PCL_LOSS=0.669702 | MEAN_GATE=0.5068 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3666 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.423084
  STEP 1800/5739 | TOTAL_LOSS=0.323609 | REG_LOSS=0.128808 | SOFTCLIP_LOSS=1.270468 | PCL_LOSS=0.677545 | MEAN_GATE=0.5144 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2355 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.358898
  STEP 1900/5739 | TOTAL_LOSS=0.977216 | REG_LOSS=0.848974 | SOFTCLIP_LOSS=1.045072 | PCL_LOSS=0.237349 | MEAN_GATE=0.5101 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.5312 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.921398
  STEP 2000/5739 | TOTAL_LOSS=2.635844 | REG_LOSS=2.459890 | SOFTCLIP_LOSS=1.132660 | PCL_LOSS=0.626879 | MEAN_GATE=0.5055 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4130 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.568404
  STEP 2100/5739 | TOTAL_LOSS=3.818906 | REG_LOSS=3.651072 | SOFTCLIP_LOSS=1.204644 | PCL_LOSS=0.473701 | MEAN_GATE=0.5084 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4237 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.910778
  STEP 2200/5739 | TOTAL_LOSS=1.087443 | REG_LOSS=0.845561 | SOFTCLIP_LOSS=1.285895 | PCL_LOSS=1.132922 | MEAN_GATE=0.5162 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4834 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.919544
  STEP 2300/5739 | TOTAL_LOSS=0.619266 | REG_LOSS=0.386257 | SOFTCLIP_LOSS=1.234229 | PCL_LOSS=1.095858 | MEAN_GATE=0.5032 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2711 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.621496
  STEP 2400/5739 | TOTAL_LOSS=0.538396 | REG_LOSS=0.339905 | SOFTCLIP_LOSS=1.240871 | PCL_LOSS=0.744041 | MEAN_GATE=0.5111 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3041 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.583014
  STEP 2500/5739 | TOTAL_LOSS=0.414324 | REG_LOSS=0.217179 | SOFTCLIP_LOSS=1.197615 | PCL_LOSS=0.773832 | MEAN_GATE=0.5059 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3911 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.466025
