nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(diag-mul) + pcl(protein1d-protein3d)
RESUMED FROM: outputs/davis_softclip_pcl_diagmul_bs4_ep200_a02_gpu0/latest_model.pt | start_epoch=40 | best_val_rmse=0.551711

EPOCH 40/200
  STEP 100/5739 | TOTAL_LOSS=0.237311 | REG_LOSS=0.115535 | SOFTCLIP_LOSS=1.217761 | PCL_LOSS=0.000001 | MEAN_GATE=0.2974 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2426 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.339905
  STEP 200/5739 | TOTAL_LOSS=0.172680 | REG_LOSS=0.059082 | SOFTCLIP_LOSS=1.135843 | PCL_LOSS=0.000136 | MEAN_GATE=0.3145 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3025 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.243069
  STEP 300/5739 | TOTAL_LOSS=0.165901 | REG_LOSS=0.052555 | SOFTCLIP_LOSS=0.971588 | PCL_LOSS=0.161866 | MEAN_GATE=0.2809 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.1553 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.229250
  STEP 400/5739 | TOTAL_LOSS=0.591339 | REG_LOSS=0.447135 | SOFTCLIP_LOSS=1.269150 | PCL_LOSS=0.172890 | MEAN_GATE=0.3486 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2808 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.668681
  STEP 500/5739 | TOTAL_LOSS=0.316035 | REG_LOSS=0.191998 | SOFTCLIP_LOSS=1.240367 | PCL_LOSS=0.000001 | MEAN_GATE=0.2947 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3682 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.438176
  STEP 600/5739 | TOTAL_LOSS=0.601229 | REG_LOSS=0.495246 | SOFTCLIP_LOSS=1.059826 | PCL_LOSS=0.000000 | MEAN_GATE=0.3165 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4094 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.703737
  STEP 700/5739 | TOTAL_LOSS=0.162197 | REG_LOSS=0.060870 | SOFTCLIP_LOSS=1.013227 | PCL_LOSS=0.000050 | MEAN_GATE=0.2936 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2641 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.246718
  STEP 800/5739 | TOTAL_LOSS=0.159262 | REG_LOSS=0.032151 | SOFTCLIP_LOSS=1.149326 | PCL_LOSS=0.121777 | MEAN_GATE=0.3294 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3730 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.179308
  STEP 900/5739 | TOTAL_LOSS=0.218633 | REG_LOSS=0.093125 | SOFTCLIP_LOSS=1.011355 | PCL_LOSS=0.243727 | MEAN_GATE=0.2652 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4480 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.305164
  STEP 1000/5739 | TOTAL_LOSS=0.179645 | REG_LOSS=0.047169 | SOFTCLIP_LOSS=1.321589 | PCL_LOSS=0.003166 | MEAN_GATE=0.3184 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3852 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.217185
  STEP 1100/5739 | TOTAL_LOSS=1.091815 | REG_LOSS=0.968033 | SOFTCLIP_LOSS=0.819480 | PCL_LOSS=0.418335 | MEAN_GATE=0.3396 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4914 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.983887
