tag,status,return_code,elapsed_sec,batch_size,lr,lambda_clip,lambda_pcl,temperature_init,affinity_temperature,pcl_temperature_init,best_epoch,val_loss,val_reg_loss,val_clip_loss,val_pcl_loss,val_mse,val_rmse,val_mae,val_ci,val_rm2,train_loss,train_reg_loss,train_clip_loss,train_pcl_loss,train_mse,train_rmse,train_mae,train_ci,train_rm2,output_dir
bs2_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07,ok,0,24520.5,2,0.0003,0.1,0.1,0.07,1.0,0.07,29,0.3242227643281577,0.30402885280908865,0.1431744095950488,0.0587647077538673,0.30402883887290955,0.5513880848884583,0.34261462092399597,0.8628819084727904,0.6034258725253574,0.4356625466250141,0.3767517032622617,0.5202083379857204,0.06890008922440317,0.37675169110298157,0.6138010025024414,0.4097757339477539,0.8315480797516763,0.5067815108304352,outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902/bs2_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07
bs4_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07,ok,0,19513.12,4,0.0003,0.1,0.1,0.07,1.0,0.07,29,0.3481705109703189,0.2987048403133609,0.38638259341700154,0.10827409863328205,0.2987048625946045,0.5465389490127563,0.3627118170261383,0.8630345363236606,0.6081865850955976,0.48825476908516563,0.3697958349485238,1.0809409750174679,0.10364835661280097,0.3697958290576935,0.608108401298523,0.412185937166214,0.8301247842716034,0.5107606716107115,outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902/bs4_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07
bs8_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07,ok,0,17294.21,8,0.0003,0.1,0.1,0.07,1.0,0.07,27,0.40021135631805926,0.31561866937406385,0.7469718497389285,0.09895498962146217,0.3156186640262604,0.5617994666099548,0.341686874628067,0.8618568857554018,0.5935756227663462,0.5850445808517245,0.40476983580378045,1.6523120116431407,0.15043540821336052,0.4047698378562927,0.6362152099609375,0.4297187328338623,0.8171270246587138,0.47077462847348145,outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902/bs8_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07
bs16_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07,ok,0,15535.4,16,0.0003,0.1,0.1,0.07,1.0,0.07,27,0.5005304892304052,0.35976878156956893,1.2416331336888702,0.1659839257688784,0.3597687780857086,0.5998072624206543,0.3719024062156677,0.8465249172332755,0.556743055839295,0.682877798875173,0.43601039457838386,2.2339161280701645,0.23475788770307462,0.4360103905200958,0.6603108048439026,0.4531448185443878,0.8123390551915074,0.43822166540218366,outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902/bs16_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07
bs32_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07,ok,0,18025.75,32,0.0003,0.1,0.1,0.07,1.0,0.07,30,0.5530906781917665,0.3483905983303482,1.7851487554324212,0.2618520069932273,0.3483905792236328,0.5902462005615234,0.3742281198501587,0.8478603814635538,0.5159646261212502,0.7622199131545548,0.4443545458229146,2.789938490738497,0.38871510895230377,0.4443545341491699,0.6665992140769958,0.45704618096351624,0.8094871759650213,0.4266984345788675,outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902/bs32_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07
