SWEEP START: 2026-04-19T06:59:02.311318\nSWEEP DIR: outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902\n\n\n====================================================================================================\n[RUN 1/5] bs2_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07\nSTART: 2026-04-19T06:59:02.311555\nOUTPUT_DIR: outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902/bs2_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07\nCOMMAND: /data1/ztx/.conda/envs/mdta/bin/python -u train_p13d_softclip_pcl.py --pairs_csv data/raw/davis/pairs.csv --drug_1d_dir data/processed/davis/drug_1d_chemberta2 --protein_1d_dir data/processed/davis/protein_1d_esm2 --protein_3d_dir data/processed/davis/protein_3d_min --split_json data/splits/davis_fixed_split_size2.json --output_dir outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902/bs2_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07 --drug_1d_in_dim 768 --hidden_dim 128 --contrastive_dim 128 --dropout 0.1 --epochs 30 --batch_size 2 --lr 0.0003 --lambda_clip 0.1 --lambda_pcl 0.1 --temperature_init 0.07 --affinity_temperature 1.0 --pcl_temperature_init 0.07 --num_workers 0 --weight_decay 1e-05 --seed 42\n====================================================================================================\nUsing device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 1600/11478 | TOTAL_LOSS=0.336434 | REG_LOSS=0.202250 | SOFTCLIP_LOSS=0.697622 | PCL_LOSS=0.644218 | MEAN_GATE=0.4981 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.449722
  STEP 1700/11478 | TOTAL_LOSS=0.163492 | REG_LOSS=0.123842 | SOFTCLIP_LOSS=0.356123 | PCL_LOSS=0.040376 | MEAN_GATE=0.4998 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=0.351912
  STEP 1800/11478 | TOTAL_LOSS=0.753373 | REG_LOSS=0.625878 | SOFTCLIP_LOSS=0.714592 | PCL_LOSS=0.560359 | MEAN_GATE=0.4994 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.791124
  STEP 1900/11478 | TOTAL_LOSS=1.238073 | REG_LOSS=1.119724 | SOFTCLIP_LOSS=0.703408 | PCL_LOSS=0.480085 | MEAN_GATE=0.4991 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=1.058170
  STEP 2000/11478 | TOTAL_LOSS=0.761292 | REG_LOSS=0.663135 | SOFTCLIP_LOSS=0.686654 | PCL_LOSS=0.294916 | MEAN_GATE=0.4984 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.814331
  STEP 2100/11478 | TOTAL_LOSS=0.352972 | REG_LOSS=0.160136 | SOFTCLIP_LOSS=0.685268 | PCL_LOSS=1.243091 | MEAN_GATE=0.4973 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.400170
  STEP 2200/11478 | TOTAL_LOSS=4.194989 | REG_LOSS=4.065307 | SOFTCLIP_LOSS=0.614159 | PCL_LOSS=0.682663 | MEAN_GATE=0.4973 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=2.016261
  STEP 2300/11478 | TOTAL_LOSS=0.497852 | REG_LOSS=0.403094 | SOFTCLIP_LOSS=0.346963 | PCL_LOSS=0.600615 | MEAN_GATE=0.5002 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=0.634897
  STEP 2400/11478 | TOTAL_LOSS=2.284182 | REG_LOSS=2.146363 | SOFTCLIP_LOSS=0.689227 | PCL_LOSS=0.688966 | MEAN_GATE=0.4994 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=1.465047
  STEP 2500/11478 | TOTAL_LOSS=0.270179 | REG_LOSS=0.179661 | SOFTCLIP_LOSS=0.698883 | PCL_LOSS=0.206296 | MEAN_GATE=0.4953 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.423864
  STEP 2600/11478 | TOTAL_LOSS=0.347543 | REG_LOSS=0.272760 | SOFTCLIP_LOSS=0.664149 | PCL_LOSS=0.083680 | MEAN_GATE=0.4954 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.522264
  STEP 2700/11478 | TOTAL_LOSS=0.495261 | REG_LOSS=0.399899 | SOFTCLIP_LOSS=0.341171 | PCL_LOSS=0.612444 | MEAN_GATE=0.4962 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=0.632376
  STEP 2800/11478 | TOTAL_LOSS=1.011775 | REG_LOSS=0.685460 | SOFTCLIP_LOSS=0.704807 | PCL_LOSS=2.558343 | MEAN_GATE=0.4940 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.827925
  STEP 2900/11478 | TOTAL_LOSS=0.348766 | REG_LOSS=0.213135 | SOFTCLIP_LOSS=0.688015 | PCL_LOSS=0.668289 | MEAN_GATE=0.4918 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.461666
  STEP 3000/11478 | TOTAL_LOSS=0.231513 | REG_LOSS=0.137417 | SOFTCLIP_LOSS=0.691262 | PCL_LOSS=0.249697 | MEAN_GATE=0.4930 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.370698
  STEP 3100/11478 | TOTAL_LOSS=0.620088 | REG_LOSS=0.548552 | SOFTCLIP_LOSS=0.694360 | PCL_LOSS=0.020993 | MEAN_GATE=0.4966 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.740643
  STEP 3200/11478 | TOTAL_LOSS=9.163997 | REG_LOSS=9.011089 | SOFTCLIP_LOSS=0.707292 | PCL_LOSS=0.821779 | MEAN_GATE=0.4925 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=3.001848
  STEP 3300/11478 | TOTAL_LOSS=0.128516 | REG_LOSS=0.058385 | SOFTCLIP_LOSS=0.696327 | PCL_LOSS=0.004983 | MEAN_GATE=0.4932 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.241630
  STEP 3400/11478 | TOTAL_LOSS=0.307465 | REG_LOSS=0.233491 | SOFTCLIP_LOSS=0.638679 | PCL_LOSS=0.101057 | MEAN_GATE=0.4951 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.483209
  STEP 3500/11478 | TOTAL_LOSS=0.178271 | REG_LOSS=0.078722 | SOFTCLIP_LOSS=0.333745 | PCL_LOSS=0.661749 | MEAN_GATE=0.4937 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=0.280574
