Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 2000/2870 | TOTAL_LOSS=0.658210 | REG_LOSS=0.375989 | SOFTCLIP_LOSS=1.855053 | PCL_LOSS=0.967159 | MEAN_GATE=0.5349 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.613179
  STEP 2100/2870 | TOTAL_LOSS=0.607752 | REG_LOSS=0.349353 | SOFTCLIP_LOSS=1.864906 | PCL_LOSS=0.719085 | MEAN_GATE=0.5106 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.591061
  STEP 2200/2870 | TOTAL_LOSS=0.671376 | REG_LOSS=0.413415 | SOFTCLIP_LOSS=1.714998 | PCL_LOSS=0.864619 | MEAN_GATE=0.5156 | MEAN_VALID_PER_ROW=7.25 | MEAN_VALID_OFFDIAG=6.25 | BATCH_RMSE=0.642973
  STEP 2300/2870 | TOTAL_LOSS=0.469361 | REG_LOSS=0.217543 | SOFTCLIP_LOSS=1.798696 | PCL_LOSS=0.719485 | MEAN_GATE=0.5209 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.466415
  STEP 2400/2870 | TOTAL_LOSS=0.525363 | REG_LOSS=0.269237 | SOFTCLIP_LOSS=1.850333 | PCL_LOSS=0.710925 | MEAN_GATE=0.5155 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.518880
  STEP 2500/2870 | TOTAL_LOSS=0.647776 | REG_LOSS=0.418130 | SOFTCLIP_LOSS=1.931352 | PCL_LOSS=0.365112 | MEAN_GATE=0.5284 | MEAN_VALID_PER_ROW=7.38 | MEAN_VALID_OFFDIAG=6.38 | BATCH_RMSE=0.646630
  STEP 2600/2870 | TOTAL_LOSS=1.355297 | REG_LOSS=1.112656 | SOFTCLIP_LOSS=1.807760 | PCL_LOSS=0.618652 | MEAN_GATE=0.5352 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=1.054825
  STEP 2700/2870 | TOTAL_LOSS=0.988803 | REG_LOSS=0.698033 | SOFTCLIP_LOSS=1.934357 | PCL_LOSS=0.973341 | MEAN_GATE=0.5137 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.835484
  STEP 2800/2870 | TOTAL_LOSS=0.723985 | REG_LOSS=0.484217 | SOFTCLIP_LOSS=1.698784 | PCL_LOSS=0.698902 | MEAN_GATE=0.5279 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.695857
[EPOCH 001/030] TRAIN: TOTAL=1.174434 | REG=0.867931 | SOFTCLIP=1.821940 | PCL=1.243095 | RMSE=0.931628 | MAE=0.632539 | CI=0.682534 | RM2=0.087877
[EPOCH 001/030] VAL  : TOTAL=0.736026 | REG=0.590938 | SOFTCLIP=0.790244 | PCL=0.660637 | RMSE=0.768725 | MAE=0.536354 | CI=0.762549 | RM2=0.253753
  SAVED NEW BEST MODEL | EPOCH=001 | BEST_VAL_RMSE=0.768725 | BEST_VAL_MAE=0.536354 | BEST_VAL_CI=0.762549 | BEST_VAL_RM2=0.253753

EPOCH 2/30
  STEP 100/2870 | TOTAL_LOSS=1.737970 | REG_LOSS=1.501963 | SOFTCLIP_LOSS=1.835900 | PCL_LOSS=0.524174 | MEAN_GATE=0.5266 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=1.225546
  STEP 200/2870 | TOTAL_LOSS=0.768177 | REG_LOSS=0.541565 | SOFTCLIP_LOSS=1.810204 | PCL_LOSS=0.455916 | MEAN_GATE=0.5174 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.735911
  STEP 300/2870 | TOTAL_LOSS=0.493226 | REG_LOSS=0.243235 | SOFTCLIP_LOSS=1.847285 | PCL_LOSS=0.652624 | MEAN_GATE=0.5152 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.493189
  STEP 400/2870 | TOTAL_LOSS=0.493138 | REG_LOSS=0.225949 | SOFTCLIP_LOSS=1.930452 | PCL_LOSS=0.741432 | MEAN_GATE=0.5067 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.475341
  STEP 500/2870 | TOTAL_LOSS=0.537737 | REG_LOSS=0.232366 | SOFTCLIP_LOSS=1.977513 | PCL_LOSS=1.076194 | MEAN_GATE=0.5171 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.482043
  STEP 600/2870 | TOTAL_LOSS=2.005501 | REG_LOSS=1.791566 | SOFTCLIP_LOSS=1.525560 | PCL_LOSS=0.613787 | MEAN_GATE=0.5145 | MEAN_VALID_PER_ROW=5.88 | MEAN_VALID_OFFDIAG=4.88 | BATCH_RMSE=1.338494
  STEP 700/2870 | TOTAL_LOSS=0.641760 | REG_LOSS=0.432874 | SOFTCLIP_LOSS=1.681198 | PCL_LOSS=0.407658 | MEAN_GATE=0.4953 | MEAN_VALID_PER_ROW=5.88 | MEAN_VALID_OFFDIAG=4.88 | BATCH_RMSE=0.657932
  STEP 800/2870 | TOTAL_LOSS=0.448287 | REG_LOSS=0.213490 | SOFTCLIP_LOSS=1.910130 | PCL_LOSS=0.437837 | MEAN_GATE=0.5044 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.462050
  STEP 900/2870 | TOTAL_LOSS=0.683517 | REG_LOSS=0.463652 | SOFTCLIP_LOSS=1.858594 | PCL_LOSS=0.340052 | MEAN_GATE=0.4888 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.680920
  STEP 1000/2870 | TOTAL_LOSS=0.432699 | REG_LOSS=0.234293 | SOFTCLIP_LOSS=1.708776 | PCL_LOSS=0.275281 | MEAN_GATE=0.5178 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.484038
  STEP 1100/2870 | TOTAL_LOSS=1.203697 | REG_LOSS=0.956931 | SOFTCLIP_LOSS=1.621255 | PCL_LOSS=0.846402 | MEAN_GATE=0.5200 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.978229
  STEP 1200/2870 | TOTAL_LOSS=1.165775 | REG_LOSS=0.952660 | SOFTCLIP_LOSS=1.889981 | PCL_LOSS=0.241172 | MEAN_GATE=0.4980 | MEAN_VALID_PER_ROW=7.12 | MEAN_VALID_OFFDIAG=6.12 | BATCH_RMSE=0.976043
  STEP 1300/2870 | TOTAL_LOSS=0.296840 | REG_LOSS=0.071313 | SOFTCLIP_LOSS=1.901772 | PCL_LOSS=0.353493 | MEAN_GATE=0.4958 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.267045
  STEP 1400/2870 | TOTAL_LOSS=0.409437 | REG_LOSS=0.106058 | SOFTCLIP_LOSS=1.927672 | PCL_LOSS=1.106125 | MEAN_GATE=0.5061 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=0.325665
  STEP 1500/2870 | TOTAL_LOSS=0.476117 | REG_LOSS=0.245108 | SOFTCLIP_LOSS=1.980731 | PCL_LOSS=0.329358 | MEAN_GATE=0.5151 | MEAN_VALID_PER_ROW=7.12 | MEAN_VALID_OFFDIAG=6.12 | BATCH_RMSE=0.495084
