tag,status,return_code,elapsed_sec,batch_size,lr,lambda_clip,lambda_pcl,temperature_init,pcl_temperature_init,best_epoch,val_loss,val_reg_loss,val_clip_loss,val_pcl_loss,val_mse,val_rmse,val_mae,val_ci,val_rm2,train_loss,train_reg_loss,train_clip_loss,train_pcl_loss,train_mse,train_rmse,train_mae,train_ci,train_rm2,output_dir
bs2_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07,ok,0,8627.37,2,0.0003,0.1,0.1,0.07,0.07,29,0.38436774282038005,0.3083956909436465,0.6931173996227543,0.06660310586407822,0.3083956837654114,0.5553338527679443,0.34799477458000183,0.8606401648145071,0.5747656660241405,0.45591176561861946,0.3791891042933491,0.6932589655959829,0.07396763841004167,0.37918907403945923,0.6157833337783813,0.41145697236061096,0.8263447271331931,0.502532388888586,outputs/stdclip_pcl_sweeps/stdclip_pcl_sweep_20260418_170828/bs2_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07
bs4_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07,ok,0,5657.37,4,0.0003,0.1,0.1,0.07,0.07,29,0.45996145438857194,0.31181944322980004,1.3862681671302077,0.09515191662426253,0.3118194341659546,0.5584079623222351,0.36215341091156006,0.8633849910839406,0.5987931313518048,0.5278911032412272,0.3788433799688378,1.3864163055842005,0.10406089304749655,0.37884336709976196,0.6155025362968445,0.41477110981941223,0.8269622230296837,0.5008872147869545,outputs/stdclip_pcl_sweeps/stdclip_pcl_sweep_20260418_170828/bs4_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07
bs8_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07,ok,0,4141.44,8,0.0003,0.1,0.1,0.07,0.07,30,0.552376382982274,0.33477139096408565,2.0789660111536965,0.097083891431204,0.33477136492729187,0.5785942673683167,0.36716121435165405,0.8519422041347415,0.5663838908024277,0.6353147262884238,0.4114336902417676,2.079426301150896,0.15938402289587306,0.41143369674682617,0.6414309740066528,0.4327408969402313,0.8196444827840526,0.4629194915333623,outputs/stdclip_pcl_sweeps/stdclip_pcl_sweep_20260418_170828/bs8_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07
bs16_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07,ok,0,3421.3,16,0.0003,0.1,0.1,0.07,0.07,29,0.6885091708512256,0.3921369059368293,2.771961136063632,0.19176144765410896,0.3921368718147278,0.6262083053588867,0.40245160460472107,0.8390870497331075,0.495562242094426,0.7851694734550598,0.48255160016805,2.772508175037821,0.2536704862877495,0.48255157470703125,0.6946592926979065,0.46883589029312134,0.8030767402338851,0.386513842798372,outputs/stdclip_pcl_sweeps/stdclip_pcl_sweep_20260418_170828/bs16_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07
bs32_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07,ok,0,2973.38,32,0.0003,0.1,0.1,0.07,0.07,30,0.8004372761224621,0.42963507358205444,3.4637830720961302,0.24423893824323545,0.42963510751724243,0.6554655432701111,0.4163530766963959,0.8256724759537473,0.4464097541419802,0.8921186055719987,0.5069952692734612,3.4653208193867897,0.38591248001614437,0.5069952607154846,0.7120360136032104,0.47937342524528503,0.7936389209370985,0.357970290890527,outputs/stdclip_pcl_sweeps/stdclip_pcl_sweep_20260418_170828/bs32_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07
