tag,status,return_code,elapsed_sec,batch_size,lr,lambda_pcl,temperature_init,best_epoch,val_loss,val_reg_loss,val_pcl_loss,val_mse,val_rmse,val_mae,val_ci,val_rm2,train_loss,train_reg_loss,train_pcl_loss,train_mse,train_rmse,train_mae,train_ci,train_rm2,output_dir
bs2_lr0.0003_lp0.1_temp0.07,ok,0,6478.95,2,0.0003,0.1,0.07,29,0.31454159277749544,0.3094590138950185,0.050825790168926695,0.30945906043052673,0.5562904477119446,0.3424548804759979,0.8522090376902397,0.5916974521788051,0.3875557210679203,0.3806735887879789,0.06882132398167833,0.3806735873222351,0.6169875264167786,0.41152626276016235,0.8283797217562684,0.49980360350404274,outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs2_lr0.0003_lp0.1_temp0.07
bs4_lr0.0003_lp0.1_temp0.07,ok,0,5498.58,4,0.0003,0.1,0.07,30,0.32254297248110536,0.31630898778162936,0.06233984128914718,0.31630900502204895,0.5624135732650757,0.3714516758918762,0.8622128209751918,0.5992178409223524,0.39353911229133404,0.3832901162240507,0.10248996149537058,0.3832901120185852,0.619104266166687,0.41790705919265747,0.8282312616692806,0.4953157187658485,outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs4_lr0.0003_lp0.1_temp0.07
bs8_lr0.0003_lp0.1_temp0.07,ok,0,5089.52,8,0.0003,0.1,0.07,29,0.4189389492265023,0.4069518987232177,0.11987051187766933,0.4069518744945526,0.637927770614624,0.4070166051387787,0.8249958454581133,0.46137214534231374,0.5143831992935046,0.4983051460136347,0.16078053170793727,0.49830514192581177,0.7059073448181152,0.47957223653793335,0.7943146967248627,0.3665270783654601,outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs8_lr0.0003_lp0.1_temp0.07
bs16_lr0.0003_lp0.1_temp0.07,ok,0,4234.84,16,0.0003,0.1,0.07,30,0.44678017887504257,0.4263469572058953,0.20433221906163967,0.42634692788124084,0.6529524922370911,0.40469127893447876,0.8347902516179142,0.44679979248070356,0.5448803653916866,0.5192414670637373,0.25638898038377556,0.519241452217102,0.7205840945243835,0.4931446313858032,0.7916622025732457,0.34315144112502105,outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs16_lr0.0003_lp0.1_temp0.07
bs32_lr0.0003_lp0.1_temp0.07,ok,0,3560.6,32,0.0003,0.1,0.07,28,0.5169415095126587,0.4725135131995437,0.44427996300654127,0.47251349687576294,0.6873961687088013,0.41754820942878723,0.8218402204441175,0.4022649751077958,0.6058532510625919,0.5638997091490293,0.4195354148462521,0.5638996958732605,0.750932514667511,0.5123545527458191,0.7775797781286065,0.2953805192832461,outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs32_lr0.0003_lp0.1_temp0.07
