Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + protein(1d-3d) contrastive learning

EPOCH 1/30
  STEP 3400/5739 | TOTAL_LOSS=2.107473 | REG_LOSS=2.054017 | PCL_LOSS=0.534565 | MEAN_GATE=0.4972 | BATCH_RMSE=1.433184
  STEP 3500/5739 | TOTAL_LOSS=0.557822 | REG_LOSS=0.486543 | PCL_LOSS=0.712792 | MEAN_GATE=0.4847 | BATCH_RMSE=0.697526
  STEP 3600/5739 | TOTAL_LOSS=0.208360 | REG_LOSS=0.123791 | PCL_LOSS=0.845696 | MEAN_GATE=0.4940 | BATCH_RMSE=0.351839
  STEP 3700/5739 | TOTAL_LOSS=0.204087 | REG_LOSS=0.129390 | PCL_LOSS=0.746966 | MEAN_GATE=0.4999 | BATCH_RMSE=0.359709
  STEP 3800/5739 | TOTAL_LOSS=0.461745 | REG_LOSS=0.372113 | PCL_LOSS=0.896317 | MEAN_GATE=0.5057 | BATCH_RMSE=0.610011
  STEP 3900/5739 | TOTAL_LOSS=0.608631 | REG_LOSS=0.581915 | PCL_LOSS=0.267163 | MEAN_GATE=0.4964 | BATCH_RMSE=0.762833
  STEP 4000/5739 | TOTAL_LOSS=0.322026 | REG_LOSS=0.281161 | PCL_LOSS=0.408652 | MEAN_GATE=0.4882 | BATCH_RMSE=0.530246
  STEP 4100/5739 | TOTAL_LOSS=0.863494 | REG_LOSS=0.762054 | PCL_LOSS=1.014403 | MEAN_GATE=0.4720 | BATCH_RMSE=0.872957
  STEP 4200/5739 | TOTAL_LOSS=0.281606 | REG_LOSS=0.216486 | PCL_LOSS=0.651196 | MEAN_GATE=0.5106 | BATCH_RMSE=0.465280
  STEP 4300/5739 | TOTAL_LOSS=0.404397 | REG_LOSS=0.401693 | PCL_LOSS=0.027031 | MEAN_GATE=0.5012 | BATCH_RMSE=0.633793
  STEP 4400/5739 | TOTAL_LOSS=0.303388 | REG_LOSS=0.273375 | PCL_LOSS=0.300129 | MEAN_GATE=0.4884 | BATCH_RMSE=0.522853
  STEP 4500/5739 | TOTAL_LOSS=0.180229 | REG_LOSS=0.130611 | PCL_LOSS=0.496181 | MEAN_GATE=0.4821 | BATCH_RMSE=0.361401
  STEP 4600/5739 | TOTAL_LOSS=0.481703 | REG_LOSS=0.446482 | PCL_LOSS=0.352211 | MEAN_GATE=0.4876 | BATCH_RMSE=0.668193
  STEP 4700/5739 | TOTAL_LOSS=0.677238 | REG_LOSS=0.669796 | PCL_LOSS=0.074420 | MEAN_GATE=0.4932 | BATCH_RMSE=0.818411
  STEP 4800/5739 | TOTAL_LOSS=0.201351 | REG_LOSS=0.121207 | PCL_LOSS=0.801438 | MEAN_GATE=0.4765 | BATCH_RMSE=0.348148
  STEP 4900/5739 | TOTAL_LOSS=0.203147 | REG_LOSS=0.178615 | PCL_LOSS=0.245325 | MEAN_GATE=0.4931 | BATCH_RMSE=0.422628
  STEP 5000/5739 | TOTAL_LOSS=0.297290 | REG_LOSS=0.286912 | PCL_LOSS=0.103777 | MEAN_GATE=0.5050 | BATCH_RMSE=0.535642
  STEP 5100/5739 | TOTAL_LOSS=0.555949 | REG_LOSS=0.451832 | PCL_LOSS=1.041166 | MEAN_GATE=0.4784 | BATCH_RMSE=0.672185
  STEP 5200/5739 | TOTAL_LOSS=0.535109 | REG_LOSS=0.516839 | PCL_LOSS=0.182701 | MEAN_GATE=0.4780 | BATCH_RMSE=0.718915
  STEP 5300/5739 | TOTAL_LOSS=6.500147 | REG_LOSS=6.302223 | PCL_LOSS=1.979241 | MEAN_GATE=0.4963 | BATCH_RMSE=2.510423
  STEP 5400/5739 | TOTAL_LOSS=2.387597 | REG_LOSS=2.314612 | PCL_LOSS=0.729846 | MEAN_GATE=0.4533 | BATCH_RMSE=1.521385
  STEP 5500/5739 | TOTAL_LOSS=0.169687 | REG_LOSS=0.165718 | PCL_LOSS=0.039697 | MEAN_GATE=0.4621 | BATCH_RMSE=0.407084
  STEP 5600/5739 | TOTAL_LOSS=1.402158 | REG_LOSS=1.367984 | PCL_LOSS=0.341744 | MEAN_GATE=0.4975 | BATCH_RMSE=1.169608
  STEP 5700/5739 | TOTAL_LOSS=0.287218 | REG_LOSS=0.286226 | PCL_LOSS=0.009916 | MEAN_GATE=0.4506 | BATCH_RMSE=0.535001
[EPOCH 001/030] TRAIN: TOTAL=0.927914 | REG=0.854189 | PCL=0.737245 | RMSE=0.924224 | MAE=0.639817 | CI=0.677487 | RM2=0.093099
[EPOCH 001/030] VAL  : TOTAL=0.614949 | REG=0.569192 | PCL=0.457568 | RMSE=0.754448 | MAE=0.523687 | CI=0.769526 | RM2=0.280007
  SAVED NEW BEST MODEL | EPOCH=001 | BEST_VAL_RMSE=0.754448 | BEST_VAL_MAE=0.523687 | BEST_VAL_CI=0.769526 | BEST_VAL_RM2=0.280007

EPOCH 2/30
  STEP 100/5739 | TOTAL_LOSS=0.389863 | REG_LOSS=0.376432 | PCL_LOSS=0.134306 | MEAN_GATE=0.4347 | BATCH_RMSE=0.613541
