tag,status,return_code,elapsed_sec,batch_size,lr,lambda_clip,temperature_init,affinity_temperature,best_epoch,val_loss,val_reg_loss,val_clip_loss,val_mse,val_rmse,val_mae,val_ci,val_rm2,train_loss,train_reg_loss,train_clip_loss,train_mse,train_rmse,train_mae,train_ci,train_rm2,output_dir
bs2_lr0.0003_lc0.1_temp0.07_at1,ok,0,8772.9,2,0.0003,0.1,0.07,1.0,25,0.3301489556632781,0.3157627310744547,0.14386224526301908,0.3157627582550049,0.5619277358055115,0.36256635189056396,0.8580773133726748,0.5889474275939491,0.46771272749741,0.4151813929216894,0.5253133331244546,0.41518139839172363,0.6443457007408142,0.4308992326259613,0.8145460274321698,0.45673773955486385,outputs/softclip_sweeps/softclip_sweep_20260417_162315/bs2_lr0.0003_lc0.1_temp0.07_at1
bs8_lr0.0003_lc0.1_temp0.07_at1,ok,0,7378.55,8,0.0003,0.1,0.07,1.0,29,0.4083764222233138,0.33310794761333007,0.7526847346319139,0.33310794830322266,0.5771550536155701,0.3699643313884735,0.8490919526818305,0.540902263966441,0.5741393695124394,0.40608529931498716,1.680540669336201,0.4060852825641632,0.6372482180595398,0.4352690875530243,0.8191739251451565,0.4673160924096626,outputs/softclip_sweeps/softclip_sweep_20260417_162315/bs8_lr0.0003_lc0.1_temp0.07_at1
bs16_lr0.0003_lc0.1_temp0.07_at1,ok,0,6872.45,16,0.0003,0.1,0.07,1.0,29,0.45012803430756626,0.3258351812067763,1.2429285085990454,0.3258351683616638,0.5708197355270386,0.38609427213668823,0.8560023406865779,0.5751380915845621,0.6430828818659642,0.4172045303686173,2.2587834860643334,0.41720449924468994,0.6459137201309204,0.4420608580112457,0.8178217125363358,0.45421550289736345,outputs/softclip_sweeps/softclip_sweep_20260417_162315/bs16_lr0.0003_lc0.1_temp0.07_at1
bs32_lr0.0003_lc0.1_temp0.07_at1,ok,0,7807.5,32,0.0003,0.1,0.07,1.0,30,0.6055362976386572,0.426397507614375,1.791387884625159,0.42639750242233276,0.6529911756515503,0.44845524430274963,0.8373650068535209,0.43381796668323847,0.8006664623957017,0.5174638942951192,2.8320256237535864,0.5174639225006104,0.7193496823310852,0.49208590388298035,0.7974634307484053,0.34591350643305474,outputs/softclip_sweeps/softclip_sweep_20260417_162315/bs32_lr0.0003_lc0.1_temp0.07_at1
